Best individual;((46 - ((((((((((x595 / ((x188 % (x461 + 23)) / 23)) + x183) + ((((x264 - x63) * x192) - -82) / ((46 - (x438 + x559)) * 35))) - ((x595 / ((x188 % (x461 + 45)) / 23)) - x259)) * -3) + ((((((((x445 + -26) / (x591 - x82)) + x559) + x183) + x559) - ((x595 / ((x188 % (x461 + 45)) / 23)) - x259)) * -3) * x416)) - x1) + (x211 - ((x595 / (((x595 / ((x188 % (x461 + (x591 - x255))) / 23)) % ((x591 - (x183 + ((x520 + x15) - x1))) + 45)) / 23)) + x183))) / (x591 - (x183 + (((((((71 + ((x515 * x416) + (x197 + x470))) + x183) + (x196 - (x393 - (x553 % (1 - x226))))) - ((x595 / ((x188 % (x461 + 45)) / 23)) - x259)) * -3) + x515) - x1)))) + ((((((((((((x255 + x433) + (x255 * 35)) / (x591 - (x183 + x378))) + x559) + x183) + x559) - ((x595 / ((x188 % (x461 + 45)) / 23)) - x259)) * -3) * x416) - (35 + ((((x472 - ((((x264 - x63) * x192) - -82) / ((46 - (x438 + x559)) * 35))) * -3) + x515) - x1))) + ((46 - ((((12 + (x515 + ((x211 - (x559 + x515)) % (x15 - x166)))) * 33) / (x591 - (x183 + ((((x472 - x119) * -3) + x515) - x1)))) + x559)) * 35)) / (x591 - (x183 + (((((((71 + ((x515 * x416) + (x197 + x470))) + x183) + (x196 - (x393 - (x553 % (1 - x226))))) - ((x595 / ((x188 % (x461 + 45)) / 23)) - x259)) * -3) + x515) - x1)))))) * 35)
Duration;292672
Testset error;1859.2588535981754
