Best individual;((((((((((((((85 / (x233 + x590)) + x597) + (x490 + (x139 - (x275 + x57)))) + ((84 + ((58 % x464) * 32)) + 23)) + ((((x182 - x291) / x583) + x597) + (x490 + (x139 - (x275 + x57))))) + x597) - (((((((x204 + x478) / (x275 + x74)) + x236) + ((84 + (-10 * 32)) + 23)) + x178) + ((((x110 - (x60 / x583)) + 38) - x597) + x253)) - (x173 * -61))) - ((((x110 - ((((x98 + x497) + x597) - (x173 * -61)) / x583)) + 38) - x597) + x253)) / (x275 / (((x227 + (x218 + x113)) - (x52 / 40)) + 85))) + x236) + ((84 + ((58 % (x153 + 39)) * 32)) + 23)) + (61 * 32)) + (x204 + ((84 + ((58 % (x471 + ((((x139 + 84) - x238) * x265) + (x606 % x601)))) * 32)) % ((((((x204 + ((x29 + x181) + (-1 + x490))) / (x275 + ((x183 + x162) - x568))) + x236) + ((84 + ((58 % (x153 + 39)) * 32)) + 23)) + x178) + ((((x110 - (((-1 + x597) - (x173 * -61)) / x583)) + 38) - x597) + x253))))) - (((((((x204 + (((((x320 + ((x247 - x548) / -3)) / x277) + x229) + x181) + (-1 + x490))) / (x275 + ((x183 + (x275 / (((x227 + (x218 + x113)) - (x52 / 40)) + 85))) - x568))) + x236) + ((84 + ((58 % (x153 + 39)) * 32)) + 23)) + x178) + ((((x110 - ((((x98 + (x590 * (x618 - (x606 % x601)))) + x597) - (x173 * -61)) / x583)) + 38) - x597) + x253)) - (x173 * -61)))
Duration;299835
Testset error;7988.858482381365
