Best individual;((((4 + (((x461 + (31 - ((x207 + (((((x290 + -26) / (x314 + x593)) + x395) / (x553 + ((x541 - x21) + 4))) * x2)) + (x207 % -38)))) - x445) - x455)) / (x91 + ((x455 - ((6 + (((x445 / (((x134 + (x504 + x395)) - ((41 + x593) + (x471 + x35))) + ((31 - (x344 + -38)) + (x489 * (x525 * x477))))) + (x207 % -38)) + x270)) % (x395 + x50))) + (x489 * x504)))) + (46 - (((((x299 + 61) + (x207 % -38)) % x463) - ((((-46 / (((x207 - (((x134 + -13) + x463) / ((x593 + 47) % (x395 + x50)))) / ((x593 + ((31 - x412) + (x489 * x504))) % (x395 + (4 + (-38 - x455))))) * x465)) + x207) + x463) / ((x593 + ((31 - (((x134 + ((-20 + -62) + x270)) - x165) + ((x91 * (x463 / (6 * x497))) + x134))) + (x489 * (x525 * (x4 + 56))))) % (x395 + (4 + (((x461 + (31 - ((x299 + 61) + (x207 % -38)))) - x445) - x455)))))) / ((x593 + ((31 - (((x134 + (((x331 / (x280 + -61)) + (x207 % -38)) + x270)) - x165) + ((x91 * (x463 / ((x290 + (x553 * x2)) * x497))) + x134))) + (x489 * (x525 * (x4 + 56))))) % (x395 + (4 + (((x461 + (31 - ((x299 + 61) + (x207 % -38)))) - x445) - x455))))))) * (x488 + (31 - ((x331 / ((x91 * (x207 + x604)) + x134)) + (x207 % -38)))))
Duration;286221
Testset error;2601.4418905942043
