Best individual;(((((((((((((x336 * (42 + (-14 * x197))) * x611) + ((x336 * ((x46 + x233) - 32)) + 32)) + x611) + ((((x336 * (42 + (32 * 45))) + 32) % ((x92 - x179) + x576)) + 58)) * x149) + ((-41 + (x507 * (x298 * ((58 * (x159 * (x539 + 58))) + 44)))) * (((-24 + x11) - 18) / (x142 + 17)))) + (((((x507 * x146) + 58) + 44) * 11) * x611)) + (((x336 - 37) * (x555 - x480)) + x106)) + (((((x507 * x146) + 58) + 44) * 11) * x611)) + (((((((x336 * (42 + (32 * (32 + (x563 + 32))))) + 32) % ((x92 - x179) + x576)) + 58) + 44) * 31) * x611)) + ((58 * x146) * x611)) + ((58 * x146) * x611))
Duration;267671
Testset error;1877.2629983704958
