Best individual;(((x208 + (((((((x208 - (((((x191 + 34) * x364) * ((48 * x104) + (48 * x364))) + x177) + x168)) + (29 + (((((34 % x302) * 9) * 54) + (48 * ((-7 + 54) + x104))) - 47))) + 45) + (((((x128 % (((x557 + x277) + 45) + x208)) + (((50 + (x183 - x219)) + ((x584 * x445) + x194)) % (((x277 + x485) + x183) + x208))) * 45) + 45) + 48)) + ((50 + (x183 - (((x183 + (-27 + 45)) + x104) / (((x615 * x177) % (x184 + 27)) / x598)))) + ((x584 * x445) + x194))) / (((((((28 + (x359 + (x15 % x15))) + (x183 + (x502 * 51))) - x183) * x496) * x177) % (x184 + 27)) / x598)) / (x485 * (x279 % (x269 + x183))))) + (((29 + (((((34 % (((x577 - ((x186 * x117) + x168)) + 45) + 48)) * 9) * 54) + (48 * (((x183 + (34 % (((x496 + x191) + 45) + x208))) + 54) + x104))) - 47)) / x208) + (54 + x206))) + ((29 + (((x485 * (x279 % (((34 % (((x598 - x476) + 45) + 48)) * 9) + x168))) + (48 * (((x183 + (34 % (((x496 + x191) + 45) + x208))) + 54) + x104))) - 47)) / x208))
Duration;286267
Testset error;2097.0636763682387
