Best individual;(((((((((x425 / (x383 % (((((-14 + x332) * x149) * ((x309 - x274) + (-20 * x396))) + (99 * ((x186 + x238) % (99 / x601)))) % -23))) / x383) * ((x268 * (x324 + (((x82 + x425) + 25) + (x508 - x320)))) + x528)) + 99) - ((((x549 * (x502 + 16)) + x48) - x589) - (x525 % (((x111 + x332) - x459) + x506)))) - x82) + ((((((99 / (((((x549 * (x502 + 16)) + x48) - x589) - (x525 % (((x111 + x332) - x459) + x506))) + ((99 / x601) * 16))) * x149) - x291) + ((99 / x601) * 16)) - (23 + (x138 + 73))) + ((x238 * x149) * x396))) - x291) + ((x238 * x149) * x396))
Duration;270998
Testset error;2415.77910307124
