Best individual;((((((-6 + ((((((((36 * (48 % x244)) * 23) - ((x244 * (x495 + -38)) * x241)) - x215) + ((x42 % (((x213 + 51) + x213) - (x368 / x248))) + x533)) * x213) + x37) % ((((((36 - ((46 + x241) * 52)) + 64) * -23) * x19) + 70) - 5))) + (-6 + ((((3 + ((x42 % (((x419 + 36) + x213) - (x368 / x248))) + x533)) * x213) + 70) % ((((((36 - ((46 + x241) * 52)) + 64) * -23) * x19) + 70) - 5)))) + (((x315 % (x265 - (((((36 * ((x495 + x498) % x246)) * 23) - ((x244 * (x495 + (x511 % 52))) * x241)) - x215) + x511))) * ((x60 - ((((x37 - (((49 * x241) * -19) * -19)) / x213) / (((((x37 + 52) - (-21 % -85)) + x104) + (x446 - x333)) + -10)) * x150)) + 8)) % x65)) % 23) + ((((-6 + ((((3 + ((x42 % (((x419 + 36) + x213) - (x368 / x248))) + x533)) * x213) + 70) % ((((((36 - ((46 + x241) * 52)) + 64) * -23) * x19) + 70) - 5))) + x104) + (((x315 % (x265 - (((((36 * ((x495 + x498) % x246)) * 23) - ((x244 * (x495 + (x511 % 52))) * x241)) - x215) + x511))) * ((x60 - ((((x37 - (((49 * x241) * -19) * -19)) / x213) / (((((x37 + 52) - (-21 % -85)) + x104) + (x446 - x333)) + -10)) * x150)) + 8)) % x65)) % 23)) * (((x37 + 52) - (-21 % -85)) + x104))
Duration;285089
Testset error;1861.7288083635888
