Best individual;((x279 * ((((63 + ((((((x466 - (((x423 + x460) - x256) / x466)) * (31 - (x585 % ((33 + 13) - (x527 + x404))))) - (x585 % ((33 + (x538 - (x625 / x423))) - x279))) * x0) % ((x115 / (((((x382 - x256) / x466) / ((x553 * x349) + (x493 + x238))) - x623) + x256)) + -52)) + ((((((x307 - ((x540 * x125) - x460)) + x238) - x256) - (x585 % ((33 + (x538 - (x565 / x423))) - x279))) * (x220 + (((x566 + 30) + (63 + -2)) % ((x610 * x110) + -3)))) % ((x115 / (((((40 - x256) / x466) / ((x146 * x33) + (x136 + x238))) - x623) + x256)) + -52)))) + (((((((x307 - ((x540 * (x623 + 23)) - x460)) + x238) - x256) - (x585 % ((33 + (x538 - ((-52 * x395) / x423))) - x279))) * (x220 + (((x566 + 30) + (63 + -2)) % ((x610 * x110) + -3)))) % ((x115 / ((((((x412 + x456) - x256) / x466) / (((-52 - x61) * (x172 / -39)) + ((x430 - x585) + x238))) - x623) + x256)) + -52)) + (((31 - (x585 % ((33 + (x538 - ((x251 * x578) / x423))) - (x527 + (x133 % x279))))) * (x220 + (((x566 + 30) + (63 + -2)) % ((x610 * x110) + -3)))) % ((x115 / ((((((x412 + x456) - x256) / x466) / (((-52 - x61) * (x172 / -39)) + ((x430 - x585) + x238))) - x623) + x256)) + -52)))) / (((x585 % (((x307 - ((63 - ((-52 + (x352 + x568)) / x247)) - x279)) + ((((x307 - ((x540 * 63) - x460)) + x238) - x256) / x466)) - ((x194 + (x585 % ((33 + (x538 - -52)) - 63))) - x463))) % (x299 + x549)) + (x585 % ((x516 / ((x463 + ((31 - x466) * (x220 + (((x566 + 30) + (63 + -2)) % ((x610 * x110) + -3))))) + x623)) + (x211 + ((x527 + (x133 % x279)) + x538)))))) + ((x307 - (63 - ((x279 * (x578 + -52)) / x423))) + x238))) + (x133 + (-40 * ((x623 / (x430 + ((((x307 - (63 - x460)) + x238) - x256) / x466))) + -52))))
Duration;294725
Testset error;1901.8896130420978
