Best individual;((((((((((((86 - (x133 - (x207 / (x606 + -5)))) / (29 + ((36 % (-8 + x344)) + 21))) * ((((86 / (x236 + x285)) - ((x199 - 73) - x71)) * ((73 + (26 + x0)) % x199)) / x93)) + (x208 - (x606 - (((29 * (x126 + x440)) / 60) * x309)))) / (29 + ((((((x64 - -20) + 51) + 1) % 73) + 73) + x71))) * x309) + x290) + 51) % (((((x467 + x252) % 73) + 73) - x244) - ((((x92 - -65) - x71) * 6) + x240))) % (((73 + ((((86 / ((x92 - ((x410 + (73 - x562)) - -65)) + (21 / (x450 % 41)))) - ((x199 - 73) - x71)) * ((73 + (26 + (x243 * 1))) % x199)) / x93)) + (((x207 / x271) % (x499 + 29)) + 73)) / (26 / (x93 + x133)))) + ((51 % (60 - (((((((x186 + x290) + x440) % (((((x467 + x252) % 73) + 73) - x244) - ((((x92 - -65) - x71) * 6) + x240))) + 73) - x244) - (((((x410 + (86 - ((x529 + x612) - (51 % x547)))) - -65) - x71) * 6) + x240)) + (x208 - (x606 - (((29 * (((36 % (29 + x134)) + 29) + x440)) / 60) * x309)))))) + 29)) * ((21 / (x450 % 41)) * x459))
Duration;279321
Testset error;1895.0254775316896
