Best individual;((((((((((((61 * (((x186 + x132) / x100) + ((x130 + x480) / (x592 / x100)))) - ((x462 * ((-68 + x293) + x100)) - (x480 * -18))) / x468) + ((x538 - -31) * (x426 + x61))) + ((((x463 + ((x284 - (x406 + x595)) + x480)) + ((((x588 + x303) / x100) + ((48 + x132) / x100)) + 61)) + (((((30 - x527) + (x132 + x90)) * 78) + ((x82 - (x253 + x468)) * x192)) / x100)) + (((61 + (54 - x157)) / ((x28 - x516) / x100)) + (((76 * 78) + (86 * x192)) / x100)))) + (((61 + (54 - x157)) / ((x28 - x516) / x100)) + (((76 * 78) + (86 * x192)) / x100))) + ((x428 - (x82 - ((x463 + ((x284 - 27) + x480)) - (x480 * (-68 - x90))))) + ((-33 + ((((x273 * -31) + -33) % x602) - (53 - 40))) * -31))) - (x284 - (x406 + x595))) + ((x538 - -31) * (x426 + x61))) / x25) + ((x130 + x480) / (x592 / x100))) + (61 * x463))
Duration;279339
Testset error;1875.2075485961852
