Best individual;((((((((((-2 * ((x260 * (((3 + -2) + (x327 * 77)) + ((x254 % -65) + (x327 * 77)))) - ((-1 * (x72 * (x286 + x147))) / x275))) + (((((x96 + (x315 + -56)) + (x260 * (x125 + x499))) * (x341 * 49)) - (-33 * (((x61 * x450) + -2) % (x2 * x547)))) + (36 - (((x596 - (-1 / x275)) * -2) / ((x125 + (x143 + x459)) - x216))))) + (((((((x125 + x264) + 49) * ((x443 / x275) % 21)) / x275) + (x143 + (36 - ((x346 * -2) / (x578 - x216))))) + (17 * (((77 * (28 + 3)) / x275) % (((x548 + -46) - x383) + (21 * (x213 - x516)))))) + ((19 % ((x72 * (35 + (55 + -18))) + (21 * ((x341 * 49) - (x137 / x275))))) * 77))) * (((77 * ((x260 * (x125 + (x143 + (x135 - x556)))) + 3)) / x275) % 21)) / x275) + (x143 + (36 - (((x596 - ((-1 * (x72 * ((x439 + x492) + (x387 + x619)))) / x275)) * -2) / ((x125 + (x143 + (36 - ((-1 * -2) / x275)))) - x216))))) + (17 * (((77 * (((x125 + (x143 + (36 - ((-1 * -2) / x275)))) - x216) + 3)) / x275) % (((x548 + -46) - x383) + (21 * (((x96 + 3) * 49) - ((x260 * 3) / x275))))))) + ((19 % ((x72 * (35 + (55 + (-33 * (((x61 * (17 * (x311 % x96))) + -2) % (x2 * x547)))))) + (21 * (((x96 + 3) * 49) - ((x260 * 3) / x275))))) * 77)) + (x548 + -46)) + (x536 + x94))
Duration;286520
Testset error;1965.093603461988
