Best individual;((x118 + (((((((x10 * ((((-12 - ((x457 - x251) % (x616 * x496))) - x110) % ((x16 * x65) - (x145 + x459))) - x220)) - ((((((43 + 32) - (x8 - x219)) - x110) % ((x16 * (x139 + 32)) - ((x177 + 37) + (x570 * x496)))) + (77 + x384)) / x608)) + ((43 * (x53 - -11)) - x487)) % ((x574 + ((((x542 + (x74 + (x383 + x457))) + x536) + ((((x495 % -75) + (77 + x384)) / x608) * 43)) + (x142 + x335))) + (((x16 * ((x496 * 55) + 32)) - ((((32 + (34 / x422)) * 55) + (32 + (x10 - x487))) + ((((25 + x110) - x110) % x533) * x496))) % (x489 + (x521 * (x542 + (x74 + ((x105 + -12) % x98)))))))) + (x74 + ((((((((x496 + (x228 - 30)) + x74) - (x8 - x219)) + ((((x171 - -20) - x110) % ((x16 * x65) - (x145 + x459))) - x220)) + x74) - (x8 - x219)) + -12) % ((x574 + ((((x542 + (x74 + (x383 + x457))) + x536) + ((((x495 % -75) + (77 + x384)) / x608) * 43)) + (x142 + x335))) + (((x16 * ((x496 * 55) + 32)) - ((((32 + (34 / x422)) * 55) + (32 + (x10 - x487))) + ((((25 + x110) - x110) % x533) * x496))) % (x489 + (x521 * (x542 + (x74 + ((x105 + -12) % x98)))))))))) + ((x574 + ((((x542 + (x74 + (((x16 * (x8 + x384)) + ((x118 + x31) + (x142 + x335))) + (((x16 * x220) - (x545 + x259)) % (x489 + (x521 * -11)))))) + x536) + (((((((43 + 32) - (x8 - x219)) - x110) % ((x16 * (x139 + 32)) - ((x177 + 37) + (x570 * x496)))) + (77 + x384)) / x608) * 43)) + (x142 + x335))) + (((x16 * ((x496 * 55) + 32)) - ((((32 + (34 / ((x521 + (77 + x384)) % -42))) * 55) + (32 + (x10 - x487))) + ((((25 + x110) - x110) % x533) * x496))) % (x489 + (x521 * (x542 + (x74 + (((x171 + ((x574 + x536) + x465)) + -12) % x98)))))))) + (((x16 * ((x496 * 55) + 32)) - ((((32 + (34 / ((x521 + (77 + x384)) % -42))) * 55) + (32 + (x10 - x487))) + ((((25 + x110) - x110) % x533) * x496))) % (x489 + (x521 * (x542 + (x74 + (((x171 + ((x574 + x536) + x465)) + -12) % x98)))))))) + ((32 + (34 / (((x155 / x109) * x10) + (x521 * ((((43 * (x53 - -11)) - x487) + x321) + x147))))) * 55))
Duration;308709
Testset error;1842.970544002222
