Best individual;(((((((-36 + ((((57 + (x102 + (((x584 - 76) % (x243 - -9)) + ((x261 / x584) - (x2 - x352))))) - ((x2 - x352) * 8)) + x404) % ((((((x564 * (x21 + x423)) + x2) - x352) - x404) * 8) - x247))) - (65 * -20)) % ((-36 + (-36 % (((x352 - ((x2 - 34) + (-26 - -36))) + x352) + ((x530 + x404) + ((x2 - x352) * 8))))) - (65 * -20))) + ((((((55 - (x423 + ((x352 + (x87 + (x564 + 75))) + x2))) + (((((75 + (8 + x62)) - (65 * -20)) + x102) - x467) - (x564 * x10))) * (((((55 - (x423 + (-36 + x400))) + (((x428 + x102) - x467) - (x564 * x10))) - (65 * -20)) + (x2 - x352)) / (((-20 + (((x453 + x247) + x102) - x330)) - x230) - 50))) + 76) / ((36 - (x352 + (((((x564 * (x546 + x404)) + x2) - x352) - x352) * 8))) - 50)) - (x2 - x352))) + (((14 + x102) - x467) - (x564 * x10))) - (65 * -20)) + ((((75 + (((-36 + (-36 % (((x352 - ((x2 - 34) + (-26 - -36))) + x352) + ((x530 + x404) + ((x2 - x352) * 8))))) - (65 * -20)) % ((x330 * 76) - ((x530 + x404) + ((x2 - x352) * 8))))) - ((((((x584 + (-20 % ((-36 * 76) - (-26 + x21)))) + x404) + ((x2 - x352) * 8)) + x102) - x330) - x82)) + 65) + (x404 + ((((((55 - (x423 + ((65 * (x404 + (x501 - 8))) + ((-36 - (57 * 8)) % ((x87 * 76) - -36))))) + (((((75 + (8 + x62)) - (65 * -20)) + x102) - x467) - (x564 * x10))) * -20) + 76) / ((36 - (x352 + (((((x564 * (x546 + x404)) + x2) - x352) - x352) * 8))) - 50)) - (x2 - x352)))))
Duration;314364
Testset error;1990.5300809883197
