Best individual;(((((((x438 + (x136 * ((x8 + (x343 % (x265 - (((x265 - 6) + 32) - -28)))) + x196))) - (((x478 + ((x95 * (((x8 + (32 % x478)) + (x478 + (x136 * x196))) + x241)) / x303)) + (x108 - -16)) + (x575 + (((x95 * (((x8 + (x375 % 80)) + (x478 + (x136 * x196))) + x241)) / x303) + ((x478 * x478) / ((64 + (x123 / x499)) - x240)))))) / (((x361 + (((x8 + (x343 % (x265 - ((-53 + 32) - -28)))) + x196) - 44)) + x241) - 44)) + ((((x575 / (((64 + x438) + x196) - 44)) + (((44 + (((x575 + 44) + (x108 - -16)) + x196)) / x499) + (64 * x478))) * x478) / (x240 + (x438 + x343)))) / x303) + (64 * x478)) + ((((x95 + ((85 + x196) + 64)) * 21) % (x303 + ((x485 + ((64 * x478) / ((64 + (x123 / x499)) - x240))) * x438))) * x411))
Duration;273194
Testset error;1864.9006275290083
