Best individual;(((((((((((x128 + ((18 * ((x143 * x230) + x249)) - (45 - (15 + (x617 + x249))))) - ((((74 - (x325 * x348)) + x142) * x549) - (((x142 + (x142 + x285)) - (45 - (x251 * x549))) * x348))) + ((74 - (x325 * x348)) + x142)) - ((((74 - ((18 * (x206 + x249)) * x348)) + x142) * x549) - (((x142 + (x142 + (x128 + (35 - x261)))) - (45 - ((x293 + (x549 * -22)) * x549))) * x348))) + (x142 + (x128 + ((18 * (((x56 * x356) * (70 - x558)) + x249)) - (45 - (15 + ((x461 - x459) + x249))))))) * ((x461 % (x142 + (x128 + ((18 * (((x56 * x356) * (70 - x558)) + x249)) - (45 - (15 + ((x461 - x459) + x249))))))) + x249)) - ((((x142 + (x64 + (x128 + ((((x371 - 45) * -2) + 27) - ((x214 - x64) - 18))))) * x356) + x249) - ((((74 - ((18 * (((x339 * x178) * (70 - x564)) + x249)) * x348)) + x142) * x549) - (((x142 + (x142 + (x128 + (((x48 * -2) + 27) - ((x214 - x64) - 18))))) - (45 - ((x293 + (x549 * ((x183 + x249) * x549))) * x549))) * x348)))) + (56 + (74 - (69 * (x128 + ((((((18 - (74 - x293)) + ((56 * -2) + 27)) / (((x293 + x249) * x549) + x371)) - x461) + x406) + (x145 + -54))))))) / ((((x461 % (x142 + (x128 + ((18 * ((((-20 - x341) * x356) * (70 - (22 + x184))) + x249)) - (45 - (15 + ((x461 - (x26 - x253)) + x249))))))) + x249) * x549) + x371)) - (43 - (((-20 * (x461 % (x142 + (x128 + (x456 - (45 - (15 + (x48 + x249)))))))) % x198) + x461))) + ((56 * ((43 - (((-20 * (x461 % (x142 + (x128 + (x456 - (45 - (15 + (x48 + x249)))))))) % x198) + x461)) % (x309 - ((74 - (69 * x348)) - (x456 / (-5 - 45)))))) + 27))
Duration;295348
Testset error;1908.8308488202533
