Best individual;(((((((((((((((x407 + x143) * x29) * (x479 + (x303 / x187))) - x466) + ((51 - (46 * (x126 + x24))) + x562)) + x0) + ((((((x117 + 45) / 40) + x479) + (((x515 * x29) * (x479 + x81)) - 7)) + x13) + ((((x477 + (x150 * 80)) * x29) * (x479 + (x303 / x187))) - 7))) * (((x314 * x530) / x187) + (x477 + (-29 % x463)))) * (x479 + (x303 / x187))) - 7) + ((18 + x555) + (x477 * 40))) + (((((x117 + (x479 * (x479 * 40))) * x27) - x89) + x13) + (((x477 + ((x463 * ((((x167 - x53) + x0) - x417) + x417)) % x463)) + ((((18 + x555) + (x477 * 40)) + x29) + (x530 + x174))) + ((((x290 - ((((-11 / x609) / (x1 * x78)) + -36) - -24)) % 46) + (((x179 % (18 % 7)) - -10) * 80)) + x117)))) / x187) + ((((((((x477 + ((x479 + (((x314 * x530) / x187) + (x477 + (-29 % x463)))) + (((x477 + (-29 % x463)) + ((x119 + x29) + (x530 + x174))) + (((x437 % 46) + (48 * 80)) + x117)))) * x29) * (x479 + (x303 / x187))) - x466) + ((51 - (46 * ((x618 + (x314 + x604)) + (x116 + x616)))) + x562)) + (((((x117 + (x479 * (x479 * 40))) * x27) - x89) + x13) + (((x477 + ((x463 * ((((x167 - x53) + x0) - x417) + x417)) % x463)) + ((((18 + x555) + (x477 * 40)) + x29) + (x530 + x174))) + ((((x290 - ((((-11 / x609) / (x1 * x78)) + -36) - -24)) % 46) + (((x179 % (18 % 7)) - -10) * 80)) + x117)))) / x187) + x479)) * 80)
Duration;288763
Testset error;1950.8807602836996
