Best individual;((((((x6 * ((((((((x566 * (x593 + 27)) * -49) + ((x401 * x303) + (x132 * 27))) + ((x566 * ((27 * -49) + (x140 * 27))) + (x68 * 27))) + ((x6 * ((x612 * -1) + (x132 * 27))) + x343)) - (((x223 * ((x6 * (x478 + x257)) + ((54 - x452) * 27))) * x612) + (((24 + ((-48 * x110) + (x463 * x521))) + x223) + x189))) * x343) + (((((((x6 * (54 - -69)) + ((x401 * x303) + (x132 * 27))) + ((x566 * (19 + x543)) + (x68 * 27))) + ((x6 * ((x612 * -1) + (x132 * 27))) + x343)) - (((x223 * ((x6 * x538) + (58 * 27))) * x612) + (((24 + (x417 + x593)) + x223) + x189))) * x343) + ((54 - x452) * 27)))) + ((54 - x452) * 27)) + ((x6 * ((x401 * x303) + (x132 * 27))) + (((47 + -41) + (64 - x612)) - ((7 * x612) + (26 + x189))))) + (-49 + (x149 * ((54 - x452) * 27)))) / (x303 + x203)) + ((((((x112 - -49) + (x478 + x414)) / x167) + (((x347 + x375) + (-65 + x257)) / x167)) - (((x460 + (54 + x343)) - ((37 + -49) / (x303 + x203))) - x612)) + ((x6 * x223) + ((54 - x452) * 27))))
Duration;275204
Testset error;1887.8864311135787
