Best individual;(((((((((((x585 / ((-16 + x183) + (((x183 + 29) + (-16 * 33)) - x221))) + x183) + (-16 * (-58 / x288))) * ((((((-52 - (x214 + x585)) % (-18 - x231)) + x585) + (-16 * (-58 / x288))) + (x183 - (x2 * 85))) - -38)) - x248) % ((((x183 + ((58 + (x183 - (x2 * 85))) + x14)) + (-16 * (-58 / x288))) - x221) - -51)) - (-58 / x288)) + (((((x133 * ((((((x102 - -18) % (-18 - x231)) + x585) + (-16 * (-58 / x288))) + (x183 - (x2 * 85))) - -38)) - x598) % ((((x183 + ((58 + (x183 - (x2 * 85))) + x14)) + (-16 * (-58 / x288))) - x221) - -51)) + (((x133 * ((((((x229 - x221) % (-18 - x231)) + x585) + (x420 + ((-16 * x577) + (3 + 59)))) + (((x183 + (x602 + x598)) % -38) * (x231 + x491))) - x288)) - (x67 % 24)) % ((((x183 + ((58 + (x183 - (x2 * 85))) + x14)) + (-16 * (-58 / x288))) - x221) - -51))) - x115)) + (((x229 - x221) % (-18 - x231)) + x585)) + ((((x133 * ((((((x102 - -18) % (-18 - x231)) + x585) + (-16 * (-58 / x288))) + (x183 - (x2 * 85))) - -38)) - x598) % ((((x183 + ((58 + (x183 - (x2 * 85))) + x14)) + (-16 * (-58 / x288))) - x221) - -51)) + (((x133 * ((((((x229 - x221) % (-18 - x231)) + x585) + (x420 + ((-16 * x577) + (3 + 59)))) + (((x183 + (x602 + x598)) % -38) * (x231 + x491))) - x288)) - (x67 % 24)) % ((((x183 + ((58 + (x183 - (x2 * 85))) + x14)) + (-16 * (-58 / x288))) - x221) - -51)))) + (((x248 + 46) + x585) + (-16 * (-58 / x288))))
Duration;295186
Testset error;2096.4367402540743
