Best individual;((((15 - (((50 + (x172 + ((x172 + (-4 + (x290 + (((x362 + x413) + x164) * x466)))) + x403))) / ((x411 + ((x172 + ((x236 * (((x269 + x403) * (x31 * x461)) * x236)) + x403)) - x174)) + x132)) + ((x172 + (x538 + ((x177 - (x195 - (x268 + (32 + (50 + (x98 + 24)))))) - x240))) - x174))) - ((((((x172 + ((x236 * ((x236 * ((6 - 22) * x96)) * x172)) + x403)) - x174) + (((((x240 * (x172 + ((x240 + x5) + (x18 * 43)))) + (x290 + (((x316 + x195) + x466) * ((24 / -13) + x1)))) - x177) + (x411 + ((x172 + ((x236 * (x148 * x96)) + x403)) - x174))) + (((((((x195 + x139) + 6) * (x31 * (-7 - x177))) * x236) + x195) + x466) * ((24 / (((x411 + (x137 - x174)) + (x290 + (x353 * x466))) + x132)) + x1)))) - (((((x177 - (x195 - (x268 + (32 + (50 + 71))))) + ((30 - (x411 + ((x172 + -22) - x174))) * 43)) + x49) + 6) + x177)) * (x268 + (32 + (50 + 71)))) / ((((x236 * (x240 * (((x236 * (((x172 + -7) + (x411 + 80)) * x538)) + x164) * x466))) + x403) + 6) * 28))) + (((x132 - ((((x290 + (((((x240 * (x172 + x120)) + (x290 + (x325 * x13))) - x177) + (x411 + ((x172 + (-4 + x403)) - x174))) + x195)) - (((((x177 - (x195 - (x268 + x437))) + ((30 - (x411 + 37)) * 43)) + x49) + 6) + x177)) * (x268 + (32 + (50 + 71)))) / ((((x236 * (x240 * (((x236 * (x159 * x538)) + x164) * x466))) + x403) + 6) * 28))) + ((30 - (x411 + ((x172 + ((x236 * (x240 * x538)) + x403)) - x174))) * 43)) + (15 + (x5 * ((24 / (((x411 + ((x537 + ((x236 * (x240 * x538)) + x403)) - x174)) + (x290 + ((73 + x164) * x466))) + x132)) + x1))))) + (15 + (x5 * ((24 / (((x411 + ((x537 + ((x236 * (x240 * x538)) + x403)) - x174)) + (x290 + ((73 + x164) * x466))) + x132)) + x1))))
Duration;286987
Testset error;2075.6798500140876
