Best individual;((((((((x12 + (x184 - (54 * 84))) * x442) % -76) * (x590 % (x72 - (x197 - ((((-17 / (x246 * (x523 + (59 + 45)))) + x590) + x590) + 84))))) % ((((x442 - (x458 - -42)) * x72) - x400) * x67)) + ((((((((-17 % ((x318 / ((x178 + 80) - (-17 % -76))) - ((-17 % (x72 - x125)) * x314))) % ((((x442 - (x458 - -42)) * x72) - x400) * x67)) % ((-17 / (((x523 + (9 + 45)) + (x184 - (54 * 84))) * (47 + (x12 - (x246 + x267))))) - ((-17 % (x72 - (x197 - (x324 * x330)))) * x314))) % 47) % x3) * (45 - -42)) + ((((((((x181 + x410) + (((x181 + -3) + x410) + x197)) - 8) + (((22 / ((x395 + -24) - (x314 - x134))) + (x182 * x3)) + x165)) * 82) + x400) * (x616 - x624)) - ((-17 % (x72 - (x395 - (((x466 - (84 - 54)) + (x184 - (54 * 84))) * (47 + (x12 - (x246 + (x523 + x181)))))))) * (45 - -42)))) - ((x53 + x318) + 84))) - ((-17 % (x72 - (47 + ((((x442 - ((x423 + (((x53 + x318) + 84) + x197)) - -42)) * x72) - x400) * x67)))) * (45 - -42))) - (x590 * 45))
Duration;281631
Testset error;1837.1293082613047
