Best individual;(((((((((((((((x46 + x481) % x489) * x256) + x49) + ((55 * 20) + x11)) % (x0 + (x481 - x605))) * ((((((x456 + x211) % x456) % x456) + (x0 + (x0 + (x48 - x175)))) * x326) % x456)) + (((x132 % (((x111 + (x582 % x11)) + x188) + (x79 * x32))) + (x132 + (82 + x107))) * ((((17 + 57) - x188) + (20 * (x132 + x256))) % x456))) * (((((x0 + (x489 - x605)) + 57) - x188) + (20 * (x132 + (82 + x107)))) % x456)) + x49) + ((55 * 20) + x11)) + (((23 + (x536 % x456)) - x175) + 57)) / x228) + ((x481 * (((x326 + x383) + x275) % x456)) + 20)) + (55 * 20))
Duration;271131
Testset error;2025.106119465665
