Best individual;((((17 + (((((((x49 / (-5 + (x571 + ((x403 + x428) % -34)))) + x49) - (x571 + ((x478 + 17) % -34))) + ((((((-38 - (-25 - x49)) + ((17 - x575) * 38)) + x49) * (30 + (x494 + x375))) / (x594 + (-4 + (x571 + ((x478 + 17) % -34))))) + ((x563 / ((-5 + ((x452 % x264) - x22)) - -51)) + x49))) * 38) / (x594 + (-4 + (x571 + ((x478 + ((-5 + ((14 % 78) - x22)) - x22)) % -34))))) + (-38 - (((x49 + ((68 - 17) + (x365 * x326))) % 61) - x49)))) - (34 + x60)) + ((17 - x575) * 38)) + ((59 + ((((((-38 - (((x49 + ((68 - 17) + (x365 * x326))) % 61) - x49)) + (x563 / ((-5 + (((x403 * -41) % x264) - x22)) - -51))) + ((((x478 + (((x486 + x371) % x264) - x22)) % x625) - ((((-51 + (-46 + -21)) + x265) % 61) - x49)) + ((17 - x575) * 38))) * 38) / (x594 + (-4 + (x571 + ((x478 + ((-5 + ((14 % 78) - x22)) - x22)) % -34))))) + ((x563 / ((-5 + (((x403 * -41) % x264) - x22)) - -51)) + x49))) - 68))
Duration;295306
Testset error;1870.9488009043696
