Best individual;((x281 * (((((((((((49 * (44 - (55 * x132))) - ((x364 % -3) - x443)) + ((x281 * ((-35 / x8) + (17 / x87))) + (44 * (44 % 49)))) + (x576 + -75)) - ((44 * ((x522 + x186) - (44 * x203))) + x229)) + (((44 * x280) + x457) - x389)) - ((((x457 + ((((x494 + x230) % -3) - x443) + x436)) - ((44 * (44 % 49)) + x457)) * x126) + (((44 * x280) + x457) - x389))) + ((x23 * ((44 * x280) + x457)) + x229)) - ((x562 - ((((((44 - ((49 * x214) + x229)) + (((44 * x280) + x457) - x389)) + ((((x126 + x243) % -3) - x443) + x436)) - (44 * (44 % 49))) + x447) + x229)) * x494)) / (x587 * -3)) + (((x10 + ((x457 - ((((x457 + (((x364 % -3) - x443) + x436)) - ((44 * (44 % 49)) + x457)) + x447) + x229)) * x494)) + (((x506 * (x23 + ((-41 - x379) / (x587 * -3)))) + x152) * x92)) / x87))) + (44 * (44 % 49)))
Duration;277933
Testset error;1869.3619541301287
