ForkJoin;Island;Linear;Phaser
1932.4954597466724;9712.642356465616;2316.786113048021;2083.3882465200786
1890.8562677059194;2222.0904774303945;2005.8370453615717;1938.3104733204768
1908.8308488202533;2279.058011664172;2031.6292054728203;2113.5835244542423
1887.8864311135787;1957.837632878449;2077.8000693953854;5856.218244079416
1842.970544002222;1974.6214327694559;1996.1111901290553;1913.992467442113
2415.77910307124;5887.736281298481;2092.003337460677;1898.100654417676
1895.0254775316896;5800.598358027408;2267.075115423342;1946.9774018279502
1901.8896130420978;8008.635182381467;2005.4347197491318;2037.0440826713768
1965.093603461988;2131.7258304565657;2003.927249957146;2044.2979631888427
2014.462916655965;1908.7747754941017;2007.8587671302644;2028.5986305063418
2880.0905518259974;1943.822792690816;4393.4535011007665;1973.8416540014152
2075.6798500140876;5814.527921696946;1997.0070123724886;1889.3160264288615
2096.4367402540743;5850.284972065661;2219.508110927555;2082.880502220832
1875.2075485961852;2234.4403154264196;1964.1852224344339;1973.9897541705443
2601.4418905942043;2171.819811601563;2024.854295571219;1893.2041014279835
1861.7288083635888;5871.011454928936;2059.508454751584;1963.1067443231882
1918.4785633917927;9699.40435170777;1959.302959451629;2011.064234407842
1931.4566884551896;5838.387793974096;29824.133705495286;1923.1901744384845
1901.337588826777;2217.8178851092816;2012.3802933227728;1962.1997662298802
1859.2588535981754;5854.6190222900805;1983.1240645372645;2786.2116005178823
1990.5300809883197;2144.0094250461348;2012.150946627399;1980.2956980524104
1837.1293082613047;2402.993285055799;2841.971462507736;2280.4873880200903
7988.858482381365;1977.6326594561053;2227.796417544281;2206.7349931120834
1950.8807602836996;11185.59055252788;;2027.25171406978
1877.2629983704958;2062.9409749859205;;2039.2263664045342
2097.0636763682387;2254.361291612372;;1958.0502967049922
1869.3619541301287;5806.435614133738;;1914.8351783680714
1870.9488009043696;2083.3322082586624;;1992.9047766477488
1864.9006275290083;9716.176487799376;;3929.1201533967146
2025.106119465665;1982.3733348355397;;2035.046377783559
