Best individual;(((((x168 + ((x136 % ((x86 * (x168 + ((x62 % (((x493 - x371) / x241) / ((-8 + x276) - (x377 - 24)))) * (x276 + x249)))) / -47)) * (((x136 - (-8 % (x86 * (x168 + ((x62 % -76) * (x276 + x249)))))) * 24) % x493))) + ((76 / ((x168 + ((((73 / (76 - (x493 + (x291 + x61)))) / (x602 - x492)) / x276) - x276)) - x241)) - (x619 - x210))) - ((((x136 - (-8 % (x86 * (x168 + (((x619 - (73 / (x619 - x171))) % -76) * (x276 + x249)))))) * 24) % x493) * ((x263 + ((24 / -47) - (x619 - x210))) - x241))) + (((x263 + ((24 / ((x168 + ((((73 / (76 - (x619 + x59))) / (76 * x492)) / -47) - (x619 - x210))) - x241)) - (x619 - x210))) - ((((x136 - (-8 % (x86 * (x168 + (((x619 - (73 / x90)) % -76) * (x276 + x249)))))) * 24) % x493) * ((x263 + ((24 / -47) - (x619 - x210))) - x241))) + ((((((73 + (((73 + (((x263 + x361) - x241) + x268)) - ((x507 * x398) - (76 * x492))) / x241)) - ((x507 * x398) - (76 * x492))) / x241) - ((((x136 - (-8 % (x86 * (x168 + ((x62 % -76) * (x276 + x249)))))) * 24) % x493) * ((x263 + ((24 / -47) - (x619 - x210))) - x241))) / x241) - ((((x136 - (-8 % (x86 * (x168 + (((x619 - (73 / 37)) % -76) * (x276 + x249)))))) * 24) % x493) * ((x263 + ((24 / -47) - (x619 - x210))) - x241))))) - ((x507 * ((x263 + ((24 / ((x263 + ((24 / -47) - (x619 - x210))) - x241)) - (x619 - x210))) - x241)) - (76 * x492)))
Duration;153409
Testset error;5888.752114538493
