Best individual;((x51 + ((((x50 / (x582 - ((x317 % ((x50 / (x582 - x317)) + (x242 + ((71 + 68) + (x507 + x470))))) % (x507 + (x50 % x375))))) + ((27 * ((34 + (27 / (((x256 / (73 + (x317 % x375))) - x275) + (x100 + 57)))) * ((x242 + (((((x189 + x285) + (53 + 68)) + (x110 + (60 - x219))) + 68) + (x507 + (x369 - x537)))) / x454))) / x275)) + (71 + 68)) - x130)) + 27)
Duration;138264
Testset error;2245.9381285220065
