Best individual;(((((((((((((((x597 + -2) / x481) + (78 * x481)) % x597) + ((((x322 / x318) + (78 * x481)) % x597) + (x73 / ((36 - x127) % 26)))) / x545) * x597) / 26) + 6) % (x597 + (78 * x481))) + ((((x322 / ((x617 + (6 * (x481 + (26 * (x199 + x229))))) * ((((x298 + (x545 - x552)) + (x597 + (78 * x481))) % 6) / (x597 + (78 * x481))))) + (78 * x481)) % x597) + (x73 / (((((-89 + (78 * (x298 + (x545 - x552)))) % 6) / (78 * x481)) - ((((((x298 + 28) + (x597 + x451)) % 6) / (x597 + (78 * x481))) + (78 * x481)) - x611)) % 26)))) / x545) + (((((((((x298 + (x545 - x552)) + (x597 + (78 * x481))) % 6) / (x597 + (78 * x481))) + x481) + (x511 + ((x597 + ((x322 * (x545 + (x604 + x481))) * x481)) / 78))) % 22) / (26 * (x199 + (x298 + 79)))) + ((((((-89 + x311) % 6) / (78 * x481)) + (x597 + (78 * x481))) / x617) - (x545 * (x47 - -45))))) / x617) - 78)
Duration;145525
Testset error;2247.5040339530356
