Best individual;((-57 - ((((((((((-17 * (((x376 % 10) * (x257 * x184)) - (x209 - (-40 / -12)))) / ((66 * ((16 - x72) - x25)) / x25)) * (-15 + x147)) % x280) + (((x385 + ((x102 * ((x132 - x550) - 66)) / (((x81 - 13) - x464) * x444))) * (((((x276 - 10) + (66 * x131)) + ((x112 - x587) - (66 * 8))) - (66 * (x177 - x25))) - 66)) / ((((61 / x25) - 13) - x464) * x444))) - (66 * (x177 - x25))) - ((((x202 - x376) + (x405 - ((x280 - x25) - x358))) + x50) / x546)) / (x257 % x280)) - ((x50 - (((x209 + (((((x332 + -15) * x25) / (17 - x406)) * (-15 + x147)) * x10)) * x405) + -13)) / ((((66 * ((((((66 * x147) + 17) - 60) / (x257 % x280)) - x25) - x25)) / x25) - 13) + ((65 + ((x376 * ((x280 % (((x225 / x271) + x546) % x587)) * x396)) - (x209 - ((((x96 % (x55 * 60)) - (66 * (x177 - x25))) - ((x159 * x385) / (17 - x406))) / (x257 % x280))))) - -15)))) % ((x428 % ((((-17 * 61) / ((66 * (((13 / (x257 % (5 - x579))) - (66 * (x177 - x25))) - x25)) / x25)) * (-15 + x147)) % x280)) - ((-57 - (64 % (x444 - (((((x202 - (x177 % x280)) - x587) - (66 * (x177 - x25))) - 10) / (x257 % x280))))) - (((((x202 - x376) - x587) - (66 * (x177 - x25))) - x482) / (x257 % x280)))))) - ((x428 % ((((-17 * 61) / ((66 * (((13 / (x257 % (5 - x579))) - (66 * (x177 - x25))) - x25)) / x25)) * (-15 + x147)) % x280)) - ((-57 - (64 % (x444 - (((((x202 - (x177 % x280)) - x587) - (66 * (x177 - x25))) - 10) / (x257 % x280))))) - (((((x202 - x376) - x587) - (66 * (x177 - x25))) - x482) / (x257 % x280)))))
Duration;156346
Testset error;2233.4617200057637
