Best individual;((((((x447 + (x57 + (x447 * (((x600 * x447) + (0 + 96)) + (0 + 96))))) + 2) % (((x447 + (x57 + (x447 * ((2 + ((x447 * ((x28 * x436) + (0 + 96))) + x214)) + (0 + 96))))) + ((-13 + x2) + (x353 + x414))) % ((x28 + (0 + (x447 * ((((-13 + x2) + (x353 + x414)) * x447) + (0 + 96))))) * (x57 / ((x586 % ((2 - ((52 * x484) * x62)) % x586)) + (19 * (19 - -54))))))) + ((((((x447 + (x57 + (x447 * ((x28 * ((x555 + x236) + x423)) + (0 + 96))))) + 19) % ((x28 + (0 + (x447 * ((((-13 + x2) + (x353 + x414)) * x447) + (0 + 96))))) * (x57 / ((x586 % ((2 - ((52 * x484) * x62)) % x586)) + (19 * (19 - -54)))))) - ((((x586 % (x447 * ((x122 + 6) + 39))) + (x586 % (((x551 + 49) - -54) * ((x582 * 15) % (x28 + x423))))) % ((x28 + (0 + (x447 * (-15 + x116)))) * (x57 / ((x586 % (-15 % x586)) + (19 * (19 - -54)))))) + x540)) + ((((x586 % (x447 * ((20 + (x122 + 2)) + x586))) + (x586 % ((((x411 / x586) + (x407 + 44)) - -54) * (((x447 * -43) * (19 - x217)) % (x28 + x423))))) % ((x28 + (0 + (x447 * ((x600 * x447) + (0 + 96))))) * (x57 / ((x586 % ((2 - -6) % x586)) + (19 * (19 - -54)))))) + (x353 + x414))) + x140)) % ((x28 + (0 + (x447 * (((((((x60 + ((20 - 85) + x414)) + (((x260 + x220) + 44) + ((x28 * x140) / x586))) + (0 + (((x288 + x423) + (x488 / x586)) + 19))) + ((((2 + (x447 + x214)) - (39 + (19 * x205))) + x67) - x28)) + (x353 + x414)) * x447) + (0 + 96))))) * (x57 / ((x586 % ((2 - (((((((x28 * x413) + (0 + 96)) + x28) * x439) % ((((x540 - x418) + x28) - ((2 - x68) + (0 + 96))) + ((x57 + x48) - x28))) * (x135 + (x57 + (x447 * ((x28 * x248) + (0 + 96)))))) * x62)) % x586)) + (19 * (19 - -54)))))) + (19 * (19 - -54)))
Duration;156625
Testset error;5936.044212007322
