Best individual;((((x82 - ((29 + (12 + ((x548 / (12 + (x548 * (-28 % ((x224 + x239) + x221))))) * x279))) + (55 + ((((29 + (12 + ((x10 + (-28 % (x5 + x362))) * x279))) + (x548 / (12 + (x548 * (-28 % ((x224 + x239) + x221)))))) + -28) - x5)))) + (((38 * (x5 + (20 / (-28 % (((-28 % (55 + ((x589 / x15) + 20))) + x5) + x221))))) + x5) / (55 + (37 - x61)))) + (((x5 + ((((((((((x10 + -28) / (x279 + 44)) / (-28 % (55 + x221))) / x78) + 20) + 29) / (x279 + (x395 + (-28 % (55 + (37 - x61)))))) * x72) + ((20 / (x15 / (((38 + ((x258 + x189) + (20 * x5))) - x15) + x536))) / x78)) / x15)) / (x15 / (((38 + (((-53 + (x5 * (29 + (12 + (x548 * x279))))) + x189) + (20 * x5))) - x15) + x536))) / x78)) + ((29 * ((x548 + x239) + 29)) + 38))
Duration;140608
Testset error;7061.152154338138
