Best individual;(((((((((48 / ((x624 + ((x113 + ((x591 - x607) + (x301 / x241))) / 8)) + -21)) - (((((x113 + (x348 + 15)) / ((x82 + -16) + -21)) - x416) + ((((x200 - -9) + x624) - x113) / x241)) - x287)) + ((((((((x82 + x66) + -21) - ((x416 + 48) * -21)) + (48 + (x202 * 74))) - ((x416 + 48) * -21)) + x624) - x113) / x241)) - 48) - (x82 + (48 + x287))) / x241) - x45) + ((((x82 + (x287 / (x416 + 48))) + (x529 + (((x124 * 3) / 48) + x265))) - ((x416 + 48) * -21)) + x624)) + x287)
Duration;144489
Testset error;5913.288259851276
