Best individual;(((x584 + (((((49 + ((x584 % (x443 - (((x443 * (3 - x373)) * x282) * x443))) + x584)) % ((((49 + ((x584 % ((x343 + x443) - (x443 * -19))) + ((31 * 33) + ((62 + x443) - (x443 * -19))))) % (x584 + (x212 * 3))) + ((31 * 33) + (((x584 + (x212 * 3)) + x443) - (x443 * -19)))) % 60)) + ((31 * 33) + (((x584 + (x212 * 3)) + x443) - (x443 * -19)))) % ((((((((((x584 + x210) + x443) - (x443 * -19)) + x443) / (x584 + x206)) * 3) + (x244 + 60)) % (x584 + (x212 * 3))) + ((31 * 33) + (((x584 + (x212 * 3)) + x443) - (x443 * -19)))) % 60)) + ((31 * 33) + (((x584 + (x212 * 3)) + x443) - (x443 * -19))))) % (((((((((((x584 + (x212 * 3)) + x443) - (x443 * -19)) + x443) / (x584 + x206)) * 3) + (x244 + 60)) % (x584 + (x212 * 3))) + ((31 * 33) + (((x584 + (x212 * 3)) + x443) - (x443 * -19)))) % 60) + ((31 * 33) + (((x584 + (x212 * 3)) + x443) - (x443 * -19))))) + (((x584 + ((x443 % (((49 * ((49 * (x443 + (((x296 + x443) - (x443 * -19)) + x476))) + (x244 + 60))) + (x244 + 60)) / 33)) + ((31 * 33) + (((x584 + (x212 * 3)) + x443) - (x443 * -19))))) % (x584 + (x212 * 3))) + ((31 * 33) + (((x584 + (x212 * 3)) + x443) - (x443 * -19)))))
Duration;144758
Testset error;5913.593600985608
