generation;fitness
0;211.95509417267988
1;2149.118654969821
2;1792.4108027760878
3;2018.3837706696502
4;1779.1159916658705
5;1976.7538847868004
6;1776.5895257240334
7;1976.7538847868004
8;1773.970858553638
9;1940.3159661094674
10;1772.2229065516783
11;1942.2922763658648
12;1771.8496140301918
13;1941.34602294734
14;1772.9715861828277
15;1942.3690886677066
16;1773.540256984791
17;1940.311375338373
18;1773.2981117830543
19;1937.7688491500899
20;1771.6250978842652
21;1938.963303617639
22;1771.382184029141
23;1937.6544478267826
24;1769.2963387400914
25;1937.6973114576037
26;1769.2144397971817
27;1938.137121558369
28;1769.2588461810526
29;1936.7799678325173
30;1763.2237384911336
31;1936.7757863863426
32;1764.300761555189
33;1937.338068921194
34;1763.3255918993411
35;1934.543532614269
36;1764.315813253857
37;1936.0913012857293
38;1758.488474308602
39;1938.3107834995064
40;1757.7044431738345
41;1921.798883559516
42;1757.7044431738345
43;1930.9523876511605
44;1764.5492888196165
45;1938.575188063387
46;1765.2870845241935
47;1936.55138899213
48;1764.1212364558435
49;1929.687593572657
50;1728.9113087514204
51;1934.8158076285556
52;1764.5483850200599
53;1934.590408616158
54;1749.898922720706
55;1906.1286638349873
56;1757.8835741653484
57;1906.1977195578224
58;1751.4364270833116
59;1914.7447308916196
60;1732.109130307276
61;1905.0505805022376
62;1743.2062697723675
63;1924.0636485551704
64;1743.2062697723675
65;1904.6128540210898
66;1743.2062697723675
67;1912.5334753092177
68;1743.2062697723675
69;1912.5334753092177
70;1734.813585250678
71;1918.8763263127576
72;1717.884102431456
73;1924.3916931539811
74;1717.692759536125
75;1930.3337662447238
76;1717.5129818558926
77;1924.518110978813
78;1716.1391493153503
79;1922.3705139143674
80;1717.009968991243
81;1916.9699225045092
82;1717.009968991243
83;1925.6001182611935
84;1716.302582410865
85;1923.1013829036172
86;1718.3063545991022
87;1912.5334753092177
88;1718.3063545991022
89;1912.3544331826545
90;1711.2906518315488
91;1913.9314780128923
92;1732.1310711995038
93;1912.744776619964
94;1711.4555439186806
95;1912.3898450505344
96;1708.0892760229312
97;1911.2613553082144
98;1724.1264882156127
99;1900.8772305300488
100;1717.4530204012867
101;1909.6077151835784
102;1713.4293434732608
103;1909.585919961192
104;1709.675147606869
105;1913.7838906845684
106;1699.9309256111983
107;1911.0532263102582
108;1718.9490457117122
109;1920.4530420618596
110;1739.696893698096
111;1921.960482232797
112;1707.957338884106
113;1921.565816324403
114;1744.5683390255072
115;1919.4171838513053
116;1735.9941215037209
117;1915.0026840465193
118;1734.5101632304002
119;1918.3412759104926
120;1743.6005739254363
121;1921.1797409038763
122;1736.5467913065008
123;1916.9649001557323
124;1740.98954654479
125;1915.508555910157
126;1734.4166923282064
127;1916.3784842383961
128;1743.7717226828736
129;1918.4372676995313
130;1738.1513353658731
131;1916.3677524360437
132;1733.0097982616185
133;1928.1949441690126
134;1738.596173648382
135;1925.2391405801254
136;1739.5185020628514
137;1914.8235085955882
138;1737.277535550104
139;1916.5015306675568
140;1725.6970601540534
141;1916.5015306675568
142;1733.87824217357
143;1913.8661863656368
144;1734.695807051551
145;1915.585941600283
146;1729.7435107618876
147;1914.0878333122928
148;1737.1147726173192
149;1919.207018993809
150;1747.3164503613662
151;1911.3515242635283
152;1737.2481737092673
153;1922.3841364055893
154;1740.0597330533724
155;1911.7302949799637
156;1735.9474220908482
157;1922.3841364055893
158;1741.4587984853927
159;1918.2819684555357
160;1748.099896052032
161;1905.205312447979
162;1739.7095139058783
163;1919.0767289964085
164;1739.5408038030375
165;1922.6734430115573
166;1748.7215387277388
167;1924.2676547443111
168;1744.838438161542
169;1911.1956420481963
170;1751.1983927245933
171;1906.271703883955
172;1741.3510345197653
173;1906.271703883955
174;1741.3510345197653
175;1906.271703883955
176;1741.3510345197653
177;1906.271703883955
178;1741.3510345197653
179;1906.271703883955
180;1727.484050754186
181;1899.7971028451555
182;1747.515611012151
183;1914.2457173952114
184;1740.4496345679988
185;1899.9404417549774
186;1740.7685166619597
187;1899.8329173998598
188;1742.588908481456
189;1900.8241646468734
190;1737.805387010212
191;1889.568200190771
192;1745.2175739963918
193;1900.0019334799204
194;1739.8726541358947
195;1893.7058659949198
196;1732.1216943564925
197;1898.7862022966208
198;1732.106853534932
199;1898.454939457528
200;1732.106853534932
201;1893.6828800091657
202;1734.6921705873167
203;1901.4441804244632
204;1734.6921705873167
205;1899.7843869236567
206;1738.9662968862028
207;1904.512747909162
208;1731.3749615518257
209;1895.6562258566514
210;1737.408788494338
211;1897.7874823088916
212;1738.6098947814953
213;1900.8877865565048
214;1735.9862495402488
215;1894.5852266441686
216;1741.9310422614556
217;1890.1246688375145
218;1734.5913952115302
219;1890.1246688375145
220;1735.9197979639273
221;1877.5053127731978
222;1735.2542121553417
223;1890.1246688375145
224;1730.1296680679034
225;1890.1246688375145
226;1734.075822401626
227;1890.1246688375145
228;1734.9315833333792
229;1889.4606832006414
230;1727.484050754186
231;1890.1246688375145
232;1733.2784733192652
233;1888.524465382592
234;1732.8098392617187
235;1890.0528304692948
236;1734.8782745124463
237;1890.0528304692948
238;1734.0907879736153
239;1888.194324215368
240;1734.8315379643175
241;1890.0528304692948
242;1732.1188279865924
243;1890.0528304692948
244;1732.7265236473056
245;1879.7145984519875
246;1734.4110572369673
247;1890.0528304692948
248;1733.8792323021787
249;1875.2371643165854
250;1733.9401351163253
251;1826.5724763784965
252;1825.8068247907458
253;1824.7885134073474
254;1824.7885134073474
255;1824.4645786166072
256;1824.4645786166072
257;1824.4645786166072
258;1822.2455575569927
259;1822.2455575569927
260;1822.2455575569927
261;1822.2455575569927
262;1822.2455575569927
263;1822.2455575569927
264;1822.2455575569927
265;1821.5671089616935
266;1821.5671089616935
267;1821.5671089616935
268;1821.5671089616935
269;1821.5671089616935
270;1821.5671089616935
271;1821.5671089616935
272;1821.5671089616935
273;1821.5671089616935
274;1821.5671089616935
275;1821.5671089616935
276;1821.5671089616935
277;1821.5671089616935
278;1818.4335087537472
279;1818.4335087537472
280;1818.4335087537472
281;1817.9161182445387
282;1817.8094200728424
283;1817.8094200728424
284;1817.8094200728424
285;1812.643883228703
286;1810.1623936912379
287;1810.1623936912379
288;1810.1623936912379
289;1810.0623733451625
290;1810.0623733451625
291;1810.0623733451625
292;1810.0623733451625
293;1810.0623733451625
294;1809.0526682214486
295;1808.1455754664207
296;1808.1455754664207
297;1808.1455754664207
298;1807.2613149244712
299;1807.2613149244712
300;1807.2613149244712
301;1807.2613149244712
302;1807.2613149244712
303;1807.2613149244712
304;1807.2613149244712
305;1807.2613149244712
306;1807.2613149244712
307;1807.2613149244712
308;1807.2613149244712
309;1807.2613149244712
310;1807.2613149244712
311;1807.2613149244712
312;1807.2613149244712
313;1807.2613149244712
314;1807.2613149244712
315;1805.1978991781584
316;1805.1978991781584
317;1805.103356139118
318;1805.103356139118
319;1805.103356139118
320;1805.0980732721068
321;1805.0980732721068
322;1805.0980732721068
323;1803.1946402162937
324;1803.1946402162937
325;1803.1946402162937
326;1803.1946402162937
327;1803.1946402162937
328;1803.1946402162937
329;1803.1946402162937
330;1803.1946402162937
331;1803.1946402162937
332;1803.1946402162937
333;1803.1946402162937
334;1803.1946402162937
335;1803.1946402162937
336;1803.1946402162937
337;1803.1946402162937
338;1803.1946402162937
339;1803.1946402162937
340;1803.1946402162937
341;1803.1946402162937
342;1803.1946402162937
343;1803.1946402162937
344;1803.1946402162937
345;1803.1946402162937
346;1803.1946402162937
347;1803.1946402162937
348;1803.1946402162937
349;1803.1946402162937
350;1803.1946402162937
351;1803.1946402162937
352;1803.1946402162937
353;1803.1946402162937
354;1803.1946402162937
355;1800.8187602595847
356;1800.8187602595847
357;1800.8187602595847
358;1800.8187602595847
359;1800.8187602595847
360;1800.8187602595847
361;1800.8187602595847
362;1800.8187602595847
363;1798.5640515466198
364;1798.5640515466198
365;1798.5640515466198
366;1798.5640515466198
367;1798.5640515466198
368;1798.5640515466198
369;1798.5640515466198
370;1798.5640515466198
371;1798.5640515466198
372;1798.5640515466198
373;1798.5640515466198
374;1798.5640515466198
375;1798.5640515466198
376;1798.5640515466198
377;1798.5640515466198
378;1798.5640515466198
379;1798.5640515466198
380;1798.5640515466198
381;1798.5640515466198
382;1798.5640515466198
383;1798.5640515466198
384;1798.5640515466198
385;1798.5640515466198
386;1798.5640515466198
387;1798.5640515466198
388;1798.5640515466198
389;1798.5640515466198
390;1798.5640515466198
391;1798.5640515466198
392;1798.5640515466198
393;1798.5640515466198
394;1798.5640515466198
395;1798.5640515466198
396;1798.5640515466198
397;1798.5640515466198
398;1798.5640515466198
399;1798.5640515466198
400;1798.5640515466198
401;1798.5640515466198
402;1798.5640515466198
403;1798.5640515466198
404;1798.5640515466198
405;1798.5640515466198
406;1798.5640515466198
407;1798.5640515466198
408;1798.5640515466198
409;1798.5640515466198
410;1798.5640515466198
411;1798.5640515466198
412;1798.5640515466198
413;1798.5640515466198
414;1798.5640515466198
415;1798.5640515466198
416;1798.5640515466198
417;1798.5640515466198
418;1798.5640515466198
419;1798.5640515466198
420;1798.5640515466198
421;1798.5640515466198
422;1798.5640515466198
423;1798.5640515466198
424;1798.5640515466198
425;1798.5640515466198
426;1798.5640515466198
427;1798.5640515466198
428;1798.5640515466198
429;1798.5640515466198
430;1798.5640515466198
431;1798.5640515466198
432;1798.5640515466198
433;1798.5640515466198
434;1798.5640515466198
435;1798.5640515466198
436;1798.5640515466198
437;1798.5640515466198
438;1798.5640515466198
439;1798.5640515466198
440;1798.5640515466198
441;1798.5640515466198
442;1798.5640515466198
443;1798.5640515466198
444;1798.5640515466198
445;1798.5640515466198
446;1798.5640515466198
447;1798.5640515466198
448;1798.5640515466198
449;1798.5640515466198
450;1798.5640515466198
451;1798.5640515466198
452;1798.5640515466198
453;1798.5640515466198
454;1798.5640515466198
455;1798.5640515466198
456;1798.5640515466198
457;1798.5640515466198
458;1798.5640515466198
459;1798.5640515466198
460;1798.5640515466198
461;1798.5640515466198
462;1798.5640515466198
463;1798.5640515466198
464;1798.5640515466198
465;1798.5640515466198
466;1798.5640515466198
467;1798.5640515466198
468;1798.5640515466198
469;1798.5640515466198
470;1798.5640515466198
471;1798.5640515466198
472;1798.5640515466198
473;1798.5640515466198
474;1798.5640515466198
475;1798.5640515466198
476;1798.5640515466198
