Best individual;((x546 + ((x546 + (x546 + (((x546 + ((x546 + (-33 + (x61 + (((x184 + x416) + x546) + x546)))) + (x61 + 10))) + x546) + (((-14 + (x546 + (x137 + x25))) + x546) * -35)))) + (((x546 + ((((x546 + (x546 + (x61 + (x546 + (x61 + (x420 + x25)))))) + x546) + (((x546 + ((x546 + (x546 + (x346 + -35))) + x546)) + x546) + x546)) + (x61 + 10))) + x546) + ((((-14 + (x546 + (x137 + x25))) + x546) * -35) + (x25 * x546))))) + (((((x546 + (((x132 + ((((-14 + (x546 + (x137 + x25))) + x546) * -35) + (x25 * x546))) + (x61 + 10)) + x546)) + x546) + ((x546 + ((x546 + (x546 + (x61 + (((x546 + ((-14 + x546) + x546)) + x546) + x546)))) + x546)) + x546)) + (x546 + ((x25 + ((x546 + (((x546 + ((x546 + (x546 + (x546 + x546))) + x546)) + x546) + x546)) + (x61 + 10))) + ((x25 + ((-35 * -35) + (x25 * x546))) + x25)))) + x546))
Duration;138087
Testset error;2077.345680560866
