Best individual;(((((58 / (((((((((x318 * (x102 + x100)) / (58 / x318)) * 58) * x120) / x318) / 58) * x318) / x81) * ((((x318 + ((x81 * (((x318 + x120) * (x264 / 56)) + ((x168 * x420) / x318))) / x318)) * 58) / 56) + (x318 + ((x233 * x318) / x318))))) + x81) / (x233 * x318)) * x318) + (58 * (((x318 * ((((x318 + ((((((x81 * 58) * x318) / x318) / 58) * x318) / x318)) * 58) / 56) + (x318 + ((x233 * x318) / x318)))) / (58 / x318)) + (((x318 * ((((x318 + (((x318 / 58) * x318) / x318)) * 58) / 56) + (x318 + ((x233 * x318) / x318)))) / 56) + (x318 + (((58 / x318) * x318) / x318))))))
Duration;137274
Testset error;2091.2638332591123
