Best individual;(((x285 + (((((((31 * (x615 * ((x615 + ((62 * x140) + x497)) + (((26 * x479) * x615) * x615)))) * x615) * x615) * 31) + x285) * x615) * x615)) + ((((((x615 + ((((((31 * (x498 * x481)) * x615) * x615) * x615) * x615) + x497)) + ((((49 + ((((x615 * x479) + x493) * x479) * x615)) * x479) * x615) * x615)) * x479) * x615) * x615) + (((((((x481 * (((((x481 + 31) * x479) * x615) / x615) + x615)) / (x479 * x479)) + x493) * x479) * x615) / x615) + (x479 + x493)))) + x615)
Duration;135748
Testset error;2129.395542466385
