Best individual;(65 + ((((((((((65 + ((((65 * 84) / x110) + ((-23 * x207) * x478)) + x478)) + 65) + ((((((65 + x522) / (62 + 65)) + (65 * (x12 * x110))) + -23) + (x12 * x110)) / ((65 * ((-23 * (x224 * x224)) * x478)) + 65))) + (62 + 65)) + ((((((((65 + -10) + 65) + (65 * (65 + x522))) * x478) / x110) + x110) + -23) + (((65 / 65) + 65) + (65 * x478)))) * x478) / x110) + x110) + 65) + (((65 / 65) + 65) + (65 * x478))))
Duration;136504
Testset error;2102.1399366189867
