Best individual;((-30 + (((36 * ((((x91 + (-44 + ((x91 + (36 * (-30 + (x391 + 27)))) + -30))) + (x91 / -30)) / -30) / (x91 / (((57 + x266) / -30) + ((36 * x175) / x586))))) + 36) + (((-30 + x266) / -30) + ((36 * x175) / x586)))) + ((36 * (-30 + ((x91 / -30) + ((((((-30 + (((x91 + (x586 + 21)) + (x91 / -30)) / -30)) * 36) + 36) + (36 / (x91 + (((-1 + 36) / -30) + 36)))) / -30) + 36)))) + 36))
Duration;134295
Testset error;2118.2630407103625
