Best individual;(((((((((((x592 - (x60 - (x592 % ((x592 - x75) - -17)))) * (((((x493 - x368) * (-17 - x433)) - ((x92 - x60) - -17)) % (((x75 - -17) - x592) - -17)) - -17)) - x433) - (((((((20 % -17) * (24 - -17)) % -17) - -17) - ((((x396 - 24) - 24) * (24 - -17)) % -17)) - x60) * (24 - -17))) * ((((x154 % x392) - x60) - ((x92 - x60) - -17)) % (((x75 - -17) - x592) - -17))) % -17) - -17) - -17) - x592) - x592) * (24 - -17))
Duration;132038
Testset error;2094.6796422125067
