Best individual;(((((x38 + ((((((((((x211 + x133) * 33) + 1) + (((x361 + x595) - (-4 + x38)) + (x160 + (x496 * 78)))) * x86) / (((((x252 + x109) * (78 + x214)) + 78) + x38) - (43 + (((x368 + -36) + x160) + x38)))) + 78) + x86) / ((((((x38 - (43 + (78 + x361))) + 78) + x38) - (43 + ((((1 / x86) + -36) + x160) + x38))) + 78) + x38)) / (((((((x38 - (43 + (78 + x361))) + 78) + x38) - (43 + ((((1 / x86) + -36) + x160) + x38))) + 78) + x38) / x262))) + 43) * 33) + (((((((((x579 + 33) * 33) + 1) + x38) * 43) / x86) + ((x38 - (43 + (78 + x361))) + 78)) + x160) / x262)) + (x38 - (43 + (78 + x361))))
Duration;137926
Testset error;2097.2583836641675
