Best individual;((((x430 + ((x430 + (((37 / (-18 - (x583 - ((x286 - (x195 * (x591 - x430))) * 37)))) / x475) * 37)) * 37)) - (((((((((x286 / (((x242 / x293) / x286) - x583)) * 37) * 37) - (((x286 / (x286 - (x195 * (x482 - 37)))) / (x286 - (x195 * ((x11 * -18) - x475)))) * 37)) + -9) / x583) * 37) - x557) - x475)) + ((x368 + -9) / x583)) - (((x557 - (x430 + (((x286 / (37 - (x286 - x286))) / x475) * 37))) + -9) * (44 + (x286 - (-9 * ((x6 % (((-9 % ((-18 + ((x286 / (x6 - x583)) * 37)) + x430)) + ((x286 / x475) * 37)) + x430)) + x475))))))
Duration;135773
Testset error;2114.163168615257
