Best individual;(11 * ((x244 - ((((((((x535 + ((11 + ((-36 + x608) + x299)) + ((x535 + -12) + (x542 * x470)))) + ((x535 + -12) + (x542 * x470))) + ((x535 + -12) + (x542 * x470))) + ((11 + ((x535 + ((11 + (-48 * x419)) + (x542 * x470))) + x299)) + ((x535 + -12) + (x542 * x470)))) + x299) + ((x535 + -12) + (x542 * x470))) - 11) - x470)) - (((((-48 + ((((x542 + ((-48 + ((x18 + x23) + (x299 + x263))) + (((x535 + x433) + (x542 * x470)) + x542))) + ((((x535 + (x542 + x301)) + (x542 * x470)) + x542) + ((x535 + -12) + (x542 * x470)))) + x542) + ((x535 + -12) + (x542 * x470)))) + x299) + ((x535 + -12) + (x542 * x470))) - ((x535 + x433) + (x542 * x470))) - x470)))
Duration;133299
Testset error;2138.2007475693717
