Best individual;(((((x477 * ((((((x477 * ((((x477 * x176) + (x176 + x477)) + x477) / (x285 + x477))) * (((x477 * ((-70 + x477) / (x285 + x477))) + x477) + ((x477 + (x140 + -51)) + x477))) + x477) + ((x477 * ((x477 + x239) / (x285 + x477))) + x477)) + x477) / ((x477 + (x140 + -51)) + x477))) + x477) + (x140 + -51)) + (x477 * (x477 * ((((x477 + ((x477 % ((x477 * x176) + (x176 + x477))) + (7 + x311))) + x477) + x477) / x176)))) + x477)
Duration;137767
Testset error;2058.843075601213
