Best individual;(((50 * (((((x575 * ((50 - ((x304 * ((x476 - (x74 - -75)) - ((x146 * -50) - -75))) - -75)) - (50 - (50 * 35)))) - (((x575 * ((50 - ((x304 * x127) - (x73 - 50))) - (50 - (50 * 35)))) - ((x575 * ((50 - (x73 - x476)) - (50 - (50 * 35)))) - -75)) % -75)) - ((x575 * ((50 - ((50 * (x575 * ((x10 - x69) - (50 - x352)))) - (x73 - 50))) - (50 - (50 * 35)))) - ((x575 * ((50 - (x73 - x476)) - (50 - (50 * 35)))) - -75))) - 50) - (((((((x575 * ((50 - ((x304 * x127) - (x73 - 50))) - (50 - (50 * 35)))) - ((x575 * ((50 - (x73 - x476)) - (50 - (50 * 35)))) - -75)) % -75) - 50) - ((x304 * ((50 - ((x304 * (50 - (50 - x430))) - -75)) - x304)) - -75)) * x304) - (50 - (50 - ((50 - 50) - (50 * (50 - (50 - (50 % (50 - (50 * 50)))))))))))) / ((x575 % ((x575 % x73) - 50)) - 50)) - ((x304 * (50 - (50 - ((x304 * (50 - 50)) - -75)))) * x304))
Duration;134678
Testset error;2092.3183874145525
