Best individual;(34 * (x253 - ((x621 - (((34 - ((x621 * ((34 - (x621 - (((x253 - x404) - (34 - x138)) - 34))) - ((((x621 - (14 - 34)) - x388) - (34 - ((x27 - x543) - x385))) - (34 - (34 - (x253 - x543)))))) - 34)) - (x253 - x543)) - x253)) - ((34 - ((x621 * ((34 - ((((x350 - x223) - x253) - 34) - x621)) - ((x543 - (34 - ((x27 - 34) - x385))) - (34 - (34 - (x253 - x543)))))) - 34)) - ((((x543 - (x218 - ((x543 - (34 - (x253 - x385))) - (34 - (34 - (x253 - x543)))))) - (34 - (34 - (x253 - x543)))) - x253) - x543)))))
Duration;135827
Testset error;2063.996481160247
