Best individual;((((((34 - (32 - (34 / ((((34 / (((x518 / x460) - -12) - ((34 / -27) - -12))) - x390) / -12) - x611)))) - (((((34 / (x617 - x611)) - x390) / -12) - 34) - (32 - -27))) - ((18 - (32 - (x596 - ((21 - ((-91 - (34 - 41)) - x611)) - (-91 - 34))))) - (34 / (x617 - x611)))) - (-91 - 34)) - ((x611 / (x611 / (((((((((34 / (x617 - x611)) - x390) / -12) - 34) - (32 - -27)) / x611) - (x611 - (x596 - ((32 - -27) - (-91 - 34))))) - (((((-12 / -12) - x390) / -12) - -12) - -12)) - 34))) - ((x596 - x611) - (-91 - 34)))) - ((x611 / (x611 / ((((x611 / x611) - 21) - (((((-12 / -12) - x390) / -12) - -12) - -12)) - (x596 - x390)))) - (x596 - ((x611 / -12) - 21))))
Duration;134304
Testset error;2106.4893522780767
