Best individual;((((x68 + (((x587 / ((((((((x398 * x401) + x157) * (x178 * (x102 % x105))) * (((40 * x547) + (x271 % 11)) * ((x315 * x625) * x399))) + x105) / (x68 + (((x587 / (x461 + x36)) + 34) + x220))) * x596) + (((-34 * ((((x178 * x441) + (x262 % 11)) * x25) + x212)) * x399) % -4))) + 34) + x603)) + (((-34 * ((((x178 * ((x625 + ((45 + x105) * x68)) % (((-23 + x258) * x428) - (x240 / 16)))) + ((x260 / x244) % 11)) * x25) + x212)) * x399) % -4)) * 45) - (x191 / ((x220 * x603) + x157)))
Duration;271852
Testset error;2238.498143146683
