Best individual;(((((((((x61 * (x523 * (44 / (((x523 - (x523 * x543)) * ((x275 + x401) * (x523 * x522))) - 55)))) + (((((((x495 - x170) / (x275 + x412)) + ((x543 * x122) + (x523 * x122))) * (x523 * (44 / (x123 - 55)))) - (x275 + x412)) + (((((x523 + x579) + x49) - x300) / x523) / x523)) + (((x49 + (x523 * (44 / (x271 - 55)))) * x233) - (x275 + x412)))) - (x294 * (x300 * x592))) + (((x49 + (x523 * (44 / ((x61 * (44 / (55 - x519))) - 55)))) * x233) - (x275 + x412))) + ((x49 + (x523 * (44 / ((x61 * x400) - 55)))) * x233)) - 55) + (44 + (((((x523 + ((44 * (x592 / (44 + ((-28 + x226) + x49)))) - (x300 * x592))) + x49) - (x294 * (x300 * x592))) / x523) / x523))) + ((44 * (44 / x523)) - 55)) + x49)
Duration;270325
Testset error;2170.980167600427
