Best individual;((((((((x472 + (x358 + (x472 + (x92 + ((x428 / ((x194 - x583) + (x572 + -39))) + x245))))) - ((((x472 + (((x177 + (8 + x505)) + 21) + ((x472 + (x92 + x575)) + ((x622 - x60) + x55)))) - x188) + (41 - (61 - (x181 - x358)))) % x549)) + (x181 - x358)) % x549) - ((((x82 + (x496 + ((x594 + ((((x480 - -27) + x268) / x268) + x60)) - (((44 + 37) + x177) - x228)))) - 39) + (((x177 + ((41 - (61 - (x181 - x358))) + (44 % (x472 / (x225 + ((20 + -51) * x177)))))) + 20) + ((x472 + (x92 + ((x428 / 20) + x245))) + (((((20 * 47) + x613) / x613) - x60) + x55)))) + (((20 * 47) + x613) / x613))) - ((((x472 + (((x177 + (8 + x505)) + 21) + ((x472 + (x92 + x575)) + ((x622 - x60) + x55)))) - x188) + (41 - (61 - (x181 - x358)))) % x549)) % (x275 + (x613 % x474))) + ((((((((x472 + (x358 + (x472 + (x92 + ((x428 / (x297 + -30)) + x245))))) - ((((x472 + (((x177 + x173) + 21) + ((x472 + -8) + (-54 + x55)))) - x188) + (41 - (61 - (x181 - x358)))) % x549)) + (x181 - x358)) % x549) - ((((x82 + (x496 + ((x594 + (((x580 + x268) / x268) + x60)) - (((44 + 37) + x177) - x228)))) - 39) + (((x177 + ((41 - (61 - (x181 - x358))) + (44 % (x472 / (x225 + (x2 * x177)))))) + 20) + ((x472 + (x92 + ((x428 / 20) + x245))) + (((((20 * 47) + x613) / x613) - x60) + x55)))) + (((20 * 47) + x613) / x613))) - ((((x472 + (((x177 + (8 + x505)) + 21) + ((x472 + (x92 + x575)) + ((x622 - x60) + x55)))) - x188) + (41 - (61 - (x181 - x358)))) % x549)) % (x275 + (x613 % x474))) + ((((x82 + (x496 + ((x594 + ((((((x275 + x462) % x549) - (x177 - -42)) + x268) / x268) + x60)) - (((44 + 37) + x177) - x228)))) - 39) + (((x177 + ((41 - (61 - (x181 - x358))) + (44 % (x472 / (x225 + ((20 + (x228 - (46 + x110))) * x177)))))) + 20) + ((x472 + (x92 + ((x428 / 20) + x245))) + (((((20 * 47) + x613) / x613) - x60) + x55)))) + (((20 * 47) + x613) / x613))))
Duration;308418
Testset error;2031.1175448080019
