Best individual;(((((((((((((((-79 + x19) - x57) / ((-84 - x347) + (-79 + x8))) / ((53 % 11) - x243)) + ((x57 + ((x389 + x616) * -21)) - (x2 + (-62 + x100)))) % x57) + (53 * x277)) * x122) - (-79 + (x322 * x4))) + ((((((5 + (x374 * (-79 + (x322 * x4)))) + ((x434 - x595) + ((-84 - x299) + (-79 + x413)))) % x57) + (53 * x277)) * x122) - (x2 + (-62 + x100)))) + (((((x434 / ((x6 + (-69 * ((53 * x277) - (x2 + -16)))) - x102)) + ((x434 - x595) + ((-84 - x299) + (-79 + x413)))) % x57) + 43) * x122)) - ((((5 + (x374 * (-79 + (x322 * x4)))) + ((x434 - x595) + ((-84 - x299) + (-79 + x413)))) % x57) + (53 * x277))) + ((((x429 / x374) * (x206 + -15)) * ((53 % 11) - x243)) - ((x590 * (x6 + x180)) * x312))) - ((x38 / ((x57 + ((((x46 * x193) % (x426 - 71)) + ((x615 * x117) - (x28 * -69))) * -21)) - (x2 + (-62 + x100)))) + ((x434 - x595) + ((((((x429 / x374) * (x206 + -15)) * ((53 % 11) - x243)) - ((x590 * (x6 + x180)) * x312)) - x299) + (-79 + ((5 + ((x235 * x572) * x304)) * (35 * (-5 / x555)))))))) - (x196 - (x60 - ((-79 + ((5 + (x374 * x367)) * (35 * (-5 / x555)))) + 70))))
Duration;287915
Testset error;2258.545321395254
