Best individual;((((((((((x51 % (x82 + (x235 + (((x370 + x536) + (-47 + x602)) - 93)))) - x478) + x277) + ((x82 + (((x131 + (x82 + ((93 - x82) % x473))) + (((x102 + x605) + (x478 * 93)) / x605)) / x605)) / x602)) % (x51 + (34 - ((x483 / (((34 + (93 * 93)) / x605) - x302)) / x605)))) + (((((((9 / (x81 * ((x602 + x59) - 93))) - x324) + x605) + x131) + ((x82 + (((x131 + (x82 + (x530 / x605))) + (((x102 + x605) + (x478 * 93)) / x605)) / x617)) / x602)) % (x51 + (34 - ((x483 / (((34 + (93 * 93)) / x605) - x302)) / x605)))) + ((((x602 + ((((x210 - x324) + x605) + (x478 * 93)) / x605)) / x605) + ((x190 + ((x483 / (34 + 35)) / x605)) + (9 / (x81 * ((x475 + x478) - 93))))) / x605))) / x605) + ((x131 + ((x82 + (((x131 + (x82 + (x376 % 9))) + (((x102 + x605) + (x478 * 93)) / x605)) / x617)) / x602)) % (x51 + (34 - ((x483 / (((34 + (93 * 93)) / x605) - x302)) / x605))))) + ((((93 + (x483 / (x82 + ((x277 % (x478 + (x478 * (x483 + x542)))) % ((x210 - x324) + x605))))) % (((((((x605 / (x99 / x605)) - x602) / x602) + ((((x265 - x324) + x605) + (x478 * 93)) / x605)) / (((x605 % (x82 + (x235 + 93))) - x478) + x277)) + x277) + x190)) + ((x113 + x131) / x605)) / x605)) - (x51 + (34 - ((x483 / (((34 + (93 * 93)) / x605) - x302)) / x605))))
Duration;282549
Testset error;2015.6197607227546
