Best individual;(((x591 / (86 - (((x191 % (((((-73 / (((31 + x386) - (68 - -55)) - x595)) % 52) + x68) - -40) - x322)) + (75 + (86 * ((x468 + (-17 - ((((x139 + x124) + 75) + (32 * x394)) / (x468 + -3)))) + ((((((75 + x149) - (68 - -55)) - x595) - x194) - 52) + x132))))) / (((14 + x184) - (68 - -55)) - x595)))) + 32) * (((((((((((((13 - (x595 - x184)) + ((x149 * x132) + -9)) + (((14 % -34) - (68 - -55)) - ((x191 % -44) * 14))) + x451) % (75 * (35 + -9))) * ((((-73 / ((x562 - x345) - x595)) % 52) + x68) - -40)) + 41) + (((31 * ((x586 + 75) / (x468 + -3))) + ((86 - x30) * 13)) + 51)) + 13) + ((x384 + (((((((x112 + (x178 - x194)) + x132) % (75 * (35 + (x394 + 86)))) * 14) + 41) + (((31 * (((32 * x394) + 75) / (x468 + (-17 - x7)))) + ((86 - x30) * 13)) + 51)) + x218)) * 26)) / (x608 * (((x591 / (86 - ((x499 + (75 + (86 * (31 + (x51 + x132))))) / (((14 + x184) - (68 - -55)) - x595)))) + 31) - -55))) + (((((-73 / (((14 + x451) - (68 - -55)) - x595)) % 52) + x68) - -40) - x322)) + x149))
Duration;277601
Testset error;2714.4739863841387
