generation;fitness
0;235.20046873682512
1;1927.8785133221295
2;2065.988979453305
3;1908.1767286054674
4;2072.577426938823
5;1908.1767286054674
6;2065.842350701663
7;1903.623368891719
8;2062.7429999480464
9;1912.4702716887602
10;2062.987624943261
11;1926.4880274168647
12;2061.8843453639474
13;1910.8359873441802
14;2064.551736780107
15;1883.28232717592
16;2058.8672206432507
17;1900.6612339128847
18;2073.264754772862
19;1899.498574764048
20;2022.7602305574635
21;1883.6488587267227
22;2022.7602305574635
23;1862.1092069116257
24;2017.0262137560387
25;1758.0318867679978
26;2012.6766850219396
27;1758.0318867679978
28;2005.489414084634
29;1727.0958462682227
30;1983.9245489582854
31;1716.3557532987534
32;1926.4868556857762
33;1715.9041816193812
34;2016.9913006800664
35;1715.9042146434558
36;2017.488097503366
37;1694.0962238941822
38;2017.7697090784131
39;1687.629302410974
40;2011.9302418745294
41;1688.4040307717034
42;1996.9880889184778
43;1685.3589017134595
44;1986.1873984218707
45;1688.6077109103678
46;1986.1873984218707
47;1684.0851041331164
48;1988.6376939852453
49;1684.1535596940623
50;1988.2986186640119
51;1685.0844245401445
52;1978.9743213040774
53;1677.3828147020386
54;1989.6295742764169
55;1674.7125229387036
56;1975.6301685372516
57;1672.5019321428647
58;1975.6922282172752
59;1674.4559405860039
60;1918.2776360780717
61;1666.3498268769886
62;1980.7953197925574
63;1679.4367774766033
64;1985.6832677385316
65;1674.6425510623199
66;1905.632678545995
67;1671.6603638417514
68;1985.8597616697477
69;1677.3774477576055
70;1984.1570832559134
71;1670.6914511435098
72;1984.0843413667615
73;1673.4824618110465
74;1982.0382990508658
75;1676.99425350151
76;1972.380441719652
77;1675.6122208906459
78;1976.1258494792444
79;1674.8155546088217
80;1975.5946726603465
81;1671.4153602998617
82;1976.2800548462983
83;1674.5570897861994
84;1974.789086773779
85;1672.0131391098887
86;1971.5580857347186
87;1673.6597223711065
88;1972.6173059212736
89;1674.5363642404468
90;1971.3717923816153
91;1673.3645161171978
92;1977.8253208655983
93;1669.8858651623375
94;1972.497355208849
95;1669.8183692296627
96;1983.2118743545107
97;1671.3196671380217
98;1975.0841826997607
99;1669.862370426782
100;1971.1183290527163
101;1665.6074613072767
102;1969.870915205833
103;1671.955677628159
104;1982.1003200543837
105;1673.2257490230318
106;1982.2405479141594
107;1660.5775609190616
108;1972.548295026863
109;1673.613870726476
110;1981.7730598083585
111;1674.201328540943
112;1981.9540139447188
113;1673.9482225505976
114;1977.1480991382377
115;1671.8967124257472
116;1976.5683665008426
117;1670.8961804934943
118;1981.5869238537869
119;1670.6540475933368
120;1984.7963765471775
121;1668.3941855590026
122;1980.9593117568027
123;1669.839329696062
124;1982.464455268622
125;1668.6608758042523
126;1972.1412007096994
127;1627.3596395568609
128;1970.8991478736104
129;1668.5427352956624
130;1976.7760899967616
131;1670.8961804934943
132;1968.0717909980544
133;1661.728719300355
134;1978.3965649147876
135;1666.9704353313778
136;1943.8254628709017
137;1664.78179495293
138;1946.4183186318182
139;1649.5271018513538
140;1946.4183186318182
141;1667.928660071308
142;1946.5830755171403
143;1673.1893479078715
144;1949.0307343934635
145;1664.2801196666603
146;1949.0373879695744
147;1638.0964209348354
148;1946.4352851370313
149;1649.0938349760856
150;1953.6177292355233
151;1645.0702912527997
152;1946.5318199863
153;1645.0476920909891
154;1950.451935541875
155;1645.0409804845501
156;1946.3779966427223
157;1665.6485172857826
158;1942.4076195081934
159;1663.525403268881
160;1949.0233723977194
161;1657.5846828179021
162;1956.8110349529452
163;1645.4933708963174
164;1960.2563858391857
165;1645.3463666078114
166;1958.5980381762238
167;1641.4077541918332
168;1946.822635552916
169;1645.2573962369868
170;1946.8352852331986
171;1645.3909185109871
172;1949.2949022171874
173;1645.2912644550524
174;1948.6925414391671
175;1645.2412338524155
176;1948.5605823848518
177;1645.3615158843797
178;1947.9329511798642
179;1638.0964209348356
180;1952.970720383834
181;1645.443803394523
182;1954.1530224311193
183;1645.8248556372048
184;1957.079678908608
185;1645.6672039485118
186;1951.9313931510055
187;1645.3516114573877
188;1945.536144339726
189;1638.0964209348356
190;1944.7382269281725
191;1645.3603176953368
192;1945.9806463881262
193;1645.2601211079639
194;1946.5478551878607
195;1638.1252791468153
196;1946.5773808125027
197;1645.2350885264627
198;1945.939041347802
199;1645.4540072247023
200;1946.0061439291153
201;1645.246848724161
202;1943.5474837590293
203;1645.7902525030206
204;1946.5224909352282
205;1625.6044215134082
206;1938.8501474593272
207;1634.4439983381385
208;1940.720088306326
209;1645.2202222193519
210;1947.1566952624173
211;1645.1993090118908
212;1949.559290478655
213;1642.8347706222776
214;1947.0777265808279
215;1645.2148173759945
216;1944.500711002676
217;1644.1249010468557
218;1937.4278791944073
219;1642.5357235682113
220;1943.4179600154882
221;1641.7454060401694
222;1945.436637420193
223;1639.3422188492796
224;1943.0562422910887
225;1643.1125222274268
226;1941.717104352907
227;1631.7144150363301
228;1937.940804648908
229;1631.6578594504338
