Best individual;((((((x114 - (((((((x419 * ((50 + x597) + x541)) + 65) % 50) + x348) + 10) * (x542 * ((x490 + ((81 * (x492 + (x476 + x419))) - x229)) % x259))) - x476)) + x476) + ((x354 + (6 + (-18 + x419))) + x264)) * ((((((((((x419 * x378) - x476) - x209) % 50) + 81) % x259) - ((x457 * x387) - x476)) * x612) - x209) % ((((((x490 + (((x455 + x469) % 23) - (x229 * x469))) % x259) - ((x457 * x387) - x476)) + ((((((6 % 50) + x348) + x541) + 81) % (x264 % (23 + ((-12 * 19) * x114)))) + 10)) + (((((((x490 + x417) % x259) - ((x457 * x387) - x476)) + x476) + ((x354 + (6 + (-18 + x419))) + x264)) + ((x182 + ((-33 / (x209 / 18)) * (x542 * 6))) + 81)) * 22)) % 39))) + (((((((((((((x419 * x378) - x476) - x209) % 50) + 81) % x259) - ((x457 * x387) - x476)) * x612) - x209) % ((((((x490 + (((x455 + x469) % 23) - (x229 * x469))) % x259) - ((x457 * x387) - x476)) + ((((((6 % 50) + x348) + x541) + 81) % (x264 % (23 + ((-12 * 19) * x114)))) + 10)) + (((((((x490 + x417) % x259) - ((x457 * x387) - x476)) + x476) + ((x354 + (6 + (-18 + x419))) + x264)) + ((x182 + ((-33 / (x209 / 18)) * (x542 * 6))) + 81)) * 22)) % 39)) - ((x457 * x387) - x476)) * ((((x229 * x469) + 65) % 50) + x348)) - x209)) + (((((((((x490 + (((((x299 + x394) + x542) + x469) % 23) - (x229 * x469))) % x259) - ((x457 * x387) - x476)) + ((((((((x229 * x469) + 65) % 50) + x348) + x541) + 81) % (x264 % (23 + ((((x457 * x387) - x476) * 19) * x114)))) + 10)) + (((((((x490 + ((81 * x394) - x229)) % x259) - ((x457 * x387) - x476)) + x476) + ((x354 + (6 + (((-4 - x612) + x114) + x419))) + x264)) + ((x182 + ((-33 / (x209 / 18)) * (x542 * 6))) + 81)) * 22)) % 39) + (6 + (((((81 - x209) / x114) - x612) + x114) + x419))) + ((x182 + ((-33 / (x209 / 18)) * (x542 * 6))) + 81)) * 22))
Duration;296045
Testset error;2317.687752873032
