Best individual;(((((((((((((x595 + ((x157 * x247) + (29 + -1))) + x623) * ((x32 * ((x250 * 49) - (79 / x199))) + x314)) + (x314 + ((((x513 * x182) - (x72 / x199)) - 61) * (x338 - x391)))) / ((((((x340 * x32) - x513) - 61) + x101) + x600) + x247)) - x182) - 61) * ((x623 * (x273 + ((x49 - ((x595 + ((x314 + x76) + (x378 + x454))) / x467)) + ((x250 + x323) + x533)))) - (((17 - (x68 / ((x235 + (x595 + (8 / x244))) + x273))) + x49) / x199))) + x340) / x595) + (((-30 * ((x623 * ((((((x340 * (x179 + x316)) - x513) - 61) + x101) + x600) + x247)) - 57)) + x114) / x179)) + ((x68 + (((x49 - ((x595 + (x76 + x515)) / x467)) + ((x250 + x323) + x533)) / x199)) + x234)) * x478)
Duration;272903
Testset error;5903.619499524007
