Best individual;((x264 * ((((((-78 - ((((x581 + ((x534 / (x583 - x12)) - x510)) + x534) - x583) + ((x510 * ((x510 * ((x12 + x581) - x8)) - 45)) - (((x316 % x534) / 1) + -56)))) + -78) + ((((-78 / (x534 / ((((-78 + x112) % x534) / 1) + -56))) - (((x316 % x534) / 1) + -56)) / x583) - ((((17 - (x165 + x18)) % x534) - (1 + (x583 - x225))) - x383))) + (x264 * (((((x510 * ((x510 * ((x12 + x581) - x8)) - 45)) - (((x316 % x534) / 1) + -56)) / x583) % x534) + x585))) - ((x510 * ((x510 * ((x12 + x581) - x8)) - 45)) - (((x316 % x534) / 1) + -56))) + (((((((x510 * (((x561 + -78) % x534) - x213)) - (((x316 % x534) / 1) + -56)) / x534) % x534) - 56) + (-78 / (x482 / ((17 - x225) + -56)))) + -8))) + (x510 * ((((17 - (x165 + x18)) % x534) - (1 + (x583 - x225))) - x383)))
Duration;280354
Testset error;2121.529470369792
