Best individual;((((((((((((((x172 + (x346 * 87)) * -19) + -7) + (x49 + ((x249 + (-42 * x89)) * x501))) + (-57 * -19)) + (37 * (x171 - (x193 + x191)))) * (x89 / (x249 + (x541 * ((x624 + ((-3 + x97) * x501)) + 37))))) + x191) * x273) + x583) - x193) - (x249 + ((((((((x290 + ((x125 * (x201 + x583)) + (x67 - -7))) + x97) + (x193 + x191)) % (((x82 + x51) * -19) + (43 - x170))) + x589) + (x541 * ((x624 + (((x290 + ((x125 * x241) + (x67 - -7))) + x97) * x501)) + 37))) + x541) * x337))) + (((x82 - (x82 + ((((x589 + (87 + (((x283 / (41 * -46)) + (x171 - (x589 * 40))) % (((x82 + x51) * -19) + (43 - x170))))) / x171) + (x193 + x191)) % (((x82 + x51) * -19) + (43 - x170))))) + ((((8 + (x49 + ((x249 + (x541 * ((x624 + (87 * x538)) + 37))) * x501))) + (-57 * -19)) + (37 * (x171 - (x193 + x191)))) * (x89 / (x249 + (x541 * ((x624 + ((((x443 + x537) + x76) + x97) * x501)) + 37)))))) + (x589 * 40))) + (x67 - (x171 - ((61 * x273) * 40))))
Duration;278428
Testset error;2340.0792991898898
