Best individual;((((((37 - (((((((((x76 * x123) - x602) + (x532 + x132)) * x106) - (-85 + x602)) - x132) + ((x602 * (23 / 57)) + x132)) + (64 * (52 + 50))) - 64)) % ((x394 * (((((x106 - ((37 - (x160 + 79)) - x535)) % 11) - 57) + ((x602 * (23 / 57)) + x132)) + (x298 - (37 - x535)))) + x189)) - (((x106 - (x132 - x423)) % 11) - (((x331 * 64) - (-85 + x602)) - x535))) + ((64 * (64 + (((64 * (52 + (x106 - (x252 - (((x404 / x49) - x535) + (x620 / (x602 / x49))))))) * x603) + x49))) / (79 - (57 * (x523 * ((x394 * (((x394 * (((x298 - x602) + (x532 + x132)) + (x298 - (37 - x535)))) + 26) + ((((x106 - (x252 - x535)) % 11) - 57) + ((x602 * (23 / 57)) + x132)))) + x245)))))) + (((((x394 * (((((x106 - ((37 - (x160 + 79)) - x535)) % 11) - 57) + ((x602 * (23 / 57)) + x132)) + (x298 - (37 - x535)))) + x189) - (x602 * ((26 * (x106 + (x298 - (37 - x535)))) / 57))) % (37 * 52)) + (((64 * (52 + 50)) * x603) + x49))) + ((((x394 * (((((x106 - ((37 - (x160 + 79)) - x535)) % 11) - 57) + ((x602 * (23 / 57)) + x132)) + (x298 - (37 - x535)))) + x189) - (x602 * ((26 * (x106 + (x298 - (37 - x535)))) / 57))) % (37 * 52)))
Duration;286234
Testset error;2119.5634447236916
