Best individual;(((((((((-7 + ((((11 * ((x39 + x370) * (x448 % 4))) - 23) * -7) % ((((-2 * (-7 - x556)) * (44 * (x448 % x343))) - 23) * ((-7 + x23) * (x448 % (x408 / (25 - x280))))))) * (x448 % (x408 / (25 - x280)))) * ((-7 + (23 % (x288 * (((x280 * (11 * -2)) - (34 / (-30 - 23))) + (((11 * x407) + 81) + x363))))) * (x448 % (x408 / (25 - x280))))) - (-7 + (23 % (11 + ((11 * ((-7 * (x280 + x280)) * 23)) + x275))))) - (-7 + (23 % (11 + ((11 * ((-7 * (x280 + x280)) * 23)) + x275))))) * -70) % (x288 * ((((11 * ((-7 + (((x49 + ((x486 * -78) % x280)) * x176) + x275)) * (x448 % (x408 / (25 - x280))))) - 23) + 44) + x354))) - x280) + (-70 * ((11 * ((-7 + x23) * (x448 % (x408 / (25 - x280))))) - 23)))
Duration;273482
Testset error;2147.4737847446395
