Best individual;((((((-84 % (((74 - x568) + -52) + (((20 * (((36 + ((-47 * x264) + -52)) + (((x305 + x540) - x458) - x74)) / 36)) + -52) + x93))) * (((36 + ((74 * 33) + -52)) + ((((-84 % ((((x300 + 74) + (x526 / 56)) + ((x31 * -56) + x183)) + (((20 * 33) + -52) + x93))) + ((x358 * (((-7 + 74) + 36) + x568)) + ((x358 * ((44 + x465) + x568)) + x183))) - x458) - x74)) / 36)) % (x358 + ((((74 - x74) + -52) % x179) * x465))) + (((-84 * ((((((36 + (((47 + 36) + x568) + x568)) + x568) * 19) + 74) + 36) + x568)) % (x358 + ((((74 - x74) + -52) % x179) * x465))) + ((x358 * ((((91 * (74 / x227)) + 74) + 36) + x568)) + ((x358 * ((44 + x465) + x568)) + x183)))) - ((-84 * ((x93 + x183) + x300)) % (x358 + ((60 % x179) * x465)))) - (x31 * -56))
Duration;275750
Testset error;2208.897396413875
