Best individual;(((((((((((((((x66 + 20) * x347) + x589) * (((x540 + x444) + 76) / ((x236 + 53) + x318))) * 53) - x614) % (37 / x62)) + x273) - ((((x22 + ((((x540 + x444) + 76) / ((x236 + 53) + x318)) + x590)) * 65) + ((x268 / (37 * (65 / 3))) + (x176 * ((x338 + x561) - x234)))) * x105)) + -30) % ((x432 + (((((52 % (((x174 - x105) % 62) + x561)) + 8) - (x428 / x102)) - x49) * (((((52 - ((x601 * x463) - x62)) - x428) * x501) + (37 / x62)) - x295))) - x614)) - ((x268 / (37 * (65 / 3))) + (x176 * ((x338 + x561) - x234)))) - (x338 + x561)) + ((((-45 * ((x612 / (((37 / ((x268 / (37 * (65 / 3))) + (x176 * ((x338 + x561) - x234)))) / -30) + (((17 * (x556 % x612)) + x589) + (x176 * ((((21 - x614) % 62) + x561) - x234))))) + -30)) + x176) / x303) + x590)) * x422)
Duration;281542
Testset error;2120.7350100643507
