generation;fitness
0;259.1648193217817
1;2035.1747679388795
2;2130.1196899519928
3;1953.451511234264
4;2106.5287712593736
5;1966.397770295662
6;2113.5913118220383
7;1920.901525221667
8;2090.0191183298234
9;1907.3369701852282
10;2090.991692119741
11;1907.3369701852282
12;2090.8553697990424
13;1907.2038578014658
14;2087.4468242513153
15;1904.8185160144828
16;2085.934539932571
17;1907.3608651293118
18;2088.7352057538255
19;1907.3608651293118
20;2066.2035770300567
21;1907.1616102828293
22;2089.8850117562565
23;1834.5312423218304
24;2089.596002122988
25;1906.6638146441835
26;2089.635396213043
27;1905.8638712122433
28;2062.1551635267715
29;1905.291363583078
30;2048.850466164001
31;1902.5525065596078
32;2069.9404811083486
33;1902.0046001907351
34;2066.78793804121
35;1863.878469359736
36;2068.854622627892
37;1890.1366252441092
38;2061.500154394275
39;1888.106019999535
40;2034.94239605345
41;1862.8607538143751
42;2059.59814869222
43;1861.2328853515446
44;2061.316469074028
45;1861.3886154422987
46;2041.284759656835
47;1857.2129219100038
48;2035.121306562782
49;1848.7116808935275
50;2036.354687694511
51;1849.4040932059727
52;2036.1001066670567
53;1850.0874940219926
54;2036.1889323064515
55;1844.4243016330543
56;2032.5492930198288
57;1849.559657752373
58;2040.4746091054358
59;1850.0834896400975
60;2034.777851899994
61;1850.0307276254948
62;2034.9045410455392
63;1850.0835396746413
64;2034.5660819015359
65;1850.083548784937
66;2035.9970970688858
67;1849.463034924087
68;2035.9971407261808
69;1842.8406598546794
70;2035.9940937254341
71;1837.5686121957528
72;2034.497316400157
73;1837.5530051117832
74;2034.4701678290858
75;1831.0785720860738
76;2035.996275430639
77;1837.5241196409752
78;2033.4971871905122
79;1815.212872478953
80;2042.3401915249597
81;1815.212872478953
82;2031.0468260479859
83;1815.212872478953
84;2042.3401915249597
85;1815.212872478953
86;2039.0848661907257
87;1815.2127161182648
88;2037.8058128740295
89;1815.212872478953
90;2038.8692248511575
91;1804.2934043038629
92;2035.7334579843389
93;1802.7320344556977
94;2035.8112663379975
95;1802.7802540042833
96;2035.8112663379975
97;1802.22681281796
98;2021.5794689436357
99;1801.9534202985337
100;2032.380956606737
101;1800.609410315209
102;2032.3666927510342
103;1795.1430535057204
104;2029.848974829368
105;1798.4208652313332
106;2029.5272710293896
107;1798.8532925703869
108;2029.1848771263267
109;1794.2724426641832
110;2029.2503441011202
111;1794.4766016331669
112;2029.2612526080384
113;1794.433056086337
114;2029.2696844219872
