Best individual;((((((((x442 * (((((x373 * (x69 + (x149 * x79))) - (x411 + ((-43 + x623) - (-28 - -46)))) / ((((x283 + x57) + (x411 + x247)) + 58) - (((74 + x616) - (x419 + x8)) * ((61 - x545) / (x212 + x584))))) + (((((x121 + x247) + (-18 - x69)) + x623) % (x494 + ((x485 + x481) - 74))) + x1)) + (33 - x135))) + ((((61 - (x411 + (((33 - x135) / (x618 + x411)) - ((x442 * x115) - -46)))) / ((x220 + 58) - (x476 * x18))) + ((((((x373 * 72) + x247) + ((x220 + 58) - (x476 * x18))) + x623) % (x494 + (((x135 + x132) + x481) - 74))) + x1)) - (x476 * x18))) - ((((-5 + x608) % x623) + x494) - (x411 + ((-43 + x623) - (-28 - -46))))) + ((((((61 - (x411 + (((74 + x378) + x623) - ((x442 * x115) - -46)))) / (x618 + x411)) + ((((((x373 * 72) + x247) + ((x220 + 58) - (x476 * x18))) + x623) % (x494 + (((x135 + x132) + x481) - 74))) + x1)) - (x476 * x18)) + (((((((x246 / (x247 + x236)) * ((61 - x137) / (x212 + x584))) + x247) + ((((x283 + x57) + (x411 + x247)) + 58) - (((74 + x616) - (x419 + x8)) * ((61 - x545) / (x212 + x584))))) + x623) % (x494 + ((((x0 + (x618 + x411)) + (x411 + x247)) + x481) - 74))) + x1)) - ((61 - x137) / (x212 + x584)))) + (((x494 + ((((x0 + (((x246 / (-46 + 28)) + x1) * x491)) + (x411 + x247)) + 58) - 74)) + x623) - ((x442 * x115) - -46))) + x132) + (x481 + (((74 + ((16 + ((x485 + ((x383 % (x51 - ((33 + x383) - -46))) + x0)) - x361)) + x481)) - ((-71 * (x494 % x247)) + (((((x494 + ((((x0 + x494) + (x411 + x247)) + 58) - 74)) + x623) - ((x442 * x115) - -46)) * x457) - x76))) * ((61 - (-19 + x436)) / (x212 + x584))))) - ((74 + x616) - (x419 + x8)))
Duration;296970
Testset error;114001.17313422833
