Best individual;((((((((((((59 * (((x59 - x132) * -29) - 28)) + -39) + ((x13 - x162) * -29)) + -79) + x287) + (x183 - (((((x296 - x183) + (x596 + x288)) - (x599 + (x592 * 59))) * -29) - 28))) - ((((((19 + -3) + x424) - (x599 + (x592 * 59))) * (-43 - 28)) - 28) - 28)) + (((((((((-22 + (-29 + -47)) + x590) + -39) + ((x13 - x162) * -29)) + (x183 - ((((x16 + x490) - (x599 + x61)) * -29) - 28))) + x424) + (x183 - (((((x296 - x183) + (x596 + x288)) - (x599 + (x592 * 59))) * -29) - 28))) - ((((((19 + -3) + x424) - (x599 + (x592 * 59))) * (-43 - 28)) - 28) - 28)) + ((((x595 - (x374 + ((x3 % (x287 - x471)) + ((x445 + (x183 - x397)) + -79)))) + ((((x432 - x590) + (x596 + x288)) - ((x237 + x424) + (-22 * x334))) * -29)) - ((x237 + x424) + (-22 * x334))) * -29))) / ((x169 + (x15 + x296)) + x247)) - (((59 - -43) + x572) + (x237 + x424))) + ((((x599 + ((((((((-22 + 28) + x590) + ((x13 - x162) * -29)) + (x50 - (34 * 59))) + (x436 + x82)) * x334) - (x50 - (34 * 59))) * 59)) + x590) + ((((x595 - (x374 + ((x3 % (x287 - x471)) + ((x445 + (x183 - (-43 - 28))) + -79)))) + ((((x432 - x590) + (x596 + x288)) - ((x237 + x424) + (-22 * x334))) * -29)) - ((x237 + x424) + (-22 * x334))) * -29)) / ((x169 + (x15 + x296)) + x247))) + (-43 - 28))
Duration;299816
Testset error;2190.4455868872055
